ID,順位2011,選手名2011,チーム2011,防御率2011,試合2011,勝利2011,敗北2011,セlブ2011,ホlルド2011,勝率2011,打者2011,投球回2011,被安打2011,被本塁打2011,与四球2011,与死球2011,奪三振2011,失点2011,自責点2011,WHIP2011,DIPS2011
379,1,松崎　伸吾,楽天,0.0,3,0,0,0,0,0.0,20,5.1,4,0,1,0,3,0,0,0.94,2.56
729,1,伊原　正樹,オリックス,0.0,2,0,0,0,0,0.0,14,2.2,4,0,1,1,1,0,0,1.88,4.62
588,1,小笠原　孝,中日,0.0,1,0,0,0,0,0.0,8,2.2,0,0,0,0,3,0,0,0.0,0.87
686,1,佐藤　賢,ヤクルト,0.0,2,0,0,0,0,0.0,9,2.1,1,0,1,0,2,0,0,0.86,2.69
648,1,林　昌樹,広島,0.0,2,0,0,0,0,0.0,7,2.1,0,0,0,0,5,0,0,0.0,-1.17
860,1,武隈　祥太,西武,0.0,2,0,0,0,0,0.0,7,2.0,1,0,0,0,1,0,0,0.5,2.12
516,1,高橋　聡文,中日,0.0,2,0,0,0,1,0.0,6,2.0,0,0,0,0,2,0,0,0.0,1.12
700,1,白仁田　寛和,阪神,0.0,2,0,0,0,1,0.0,7,1.1,1,0,0,0,1,0,0,0.75,1.62
636,1,相澤　寿聡,広島,0.0,2,0,0,0,0,0.0,5,1.0,3,0,1,0,0,0,0,4.0,6.12
809,1,小川　龍也,中日,0.0,1,0,0,0,1,0.0,3,1.0,0,0,0,0,1,0,0,0.0,1.12
888,1,木下　達生,中日,0.0,1,0,0,0,0,0.0,5,1.0,0,0,2,0,1,0,0,2.0,7.12
13,1,石井　弘寿,ヤクルト,0.0,1,0,0,0,0,0.0,1,0.1,0,0,0,0,1,0,0,0.0,-2.88
224,13,浅尾　拓也,中日,0.41,79,7,2,10,45,0.778,328,87.1,57,0,15,2,100,5,4,0.82,1.41
389,14,ブラゾバン,ソフトバンク,0.56,15,0,0,1,2,0.0,61,16.0,8,0,5,1,12,1,1,0.81,2.56
320,15,小林　正人,中日,0.87,58,5,0,0,18,1.0,106,31.0,10,0,7,2,26,4,3,0.55,2.22
9,16,武田　久,日本ハム,1.03,53,2,2,37,1,0.5,191,52.1,32,0,9,1,28,6,6,0.78,2.39
813,17,シュルツ,広島,1.06,19,0,0,0,9,0.0,82,17.0,22,1,11,1,7,7,2,1.94,5.18
164,18,鈴木　義広,中日,1.08,55,2,1,0,12,0.667,181,41.2,34,0,19,4,20,9,5,1.27,3.46
468,19,森福　允彦,ソフトバンク,1.13,60,4,2,1,34,0.667,211,55.2,38,3,10,1,45,7,7,0.86,2.69
712,20,ブランドン,横浜,1.16,12,1,1,0,1,0.5,98,23.1,19,1,8,3,17,3,3,1.16,3.63
355,21,久保　裕也,巨人,1.17,67,4,2,20,21,0.667,273,69.0,45,1,20,1,67,9,9,0.94,2.15
441,22,吉野　誠,オリックス,1.19,50,0,0,0,12,0.0,126,30.1,33,0,3,0,26,5,4,1.19,1.7
760,23,藤川　球児,阪神,1.24,56,3,3,41,5,0.5,193,51.0,25,2,13,1,80,9,7,0.75,1.26
495,24,筒井　和也,阪神,1.26,12,0,0,0,3,0.0,57,14.1,13,1,4,1,12,2,2,1.19,3.4
608,25,田中　将大,楽天,1.27,27,19,5,0,0,0.792,866,226.1,171,8,27,5,241,35,32,0.87,1.87
893,26,松永　浩典,西武,1.29,26,1,0,0,1,1.0,85,21.0,17,1,3,3,11,7,3,0.95,3.55
602,26,久本　祐一,中日,1.29,10,1,0,0,0,1.0,83,21.0,13,0,8,3,20,3,3,1.0,2.79
72,26,柳川　洋平,ソフトバンク,1.29,8,0,0,0,0,0.0,24,7.0,4,0,1,0,6,2,1,0.71,1.83
92,29,石井　裕也,日本ハム,1.31,39,3,1,0,9,0.75,138,34.1,27,1,11,0,22,6,5,1.11,3.18
130,30,サファテ,広島,1.34,57,1,3,35,1,0.25,232,60.2,40,2,16,0,82,10,9,0.92,1.49
469,31,有銘　兼久,楽天,1.35,18,1,0,1,2,1.0,53,13.1,11,0,6,0,9,2,2,1.28,3.12
656,32,川越　英隆,ロッテ,1.37,18,0,0,0,2,0.0,77,19.2,17,0,2,0,15,4,3,0.97,1.9
259,33,ファルケンボーグ,ソフトバンク,1.42,53,1,2,19,20,0.33299999999999996,195,50.2,27,2,16,2,79,8,8,0.85,1.58
136,34,ダルビッシュ　有,日本ハム,1.44,28,18,6,0,0,0.75,885,232.0,156,5,36,6,276,42,37,0.83,1.56
165,35,岩瀬　仁紀,中日,1.48,56,0,1,37,7,0.0,206,48.2,50,1,10,2,45,12,8,1.23,2.09
428,36,加賀美　希昇,横浜,1.5,1,1,0,0,0,1.0,23,6.0,4,0,0,0,6,1,1,0.67,1.12
183,37,和田　毅,ソフトバンク,1.51,26,16,5,0,0,0.762,726,184.2,145,7,40,4,168,33,31,1.0,2.51
778,38,藤江　均,横浜,1.58,47,3,0,0,15,1.0,181,45.2,33,2,12,3,41,8,8,0.99,2.75
163,39,大島　崇行,広島,1.64,7,0,0,0,1,0.0,46,11.0,10,0,3,1,8,2,2,1.18,2.76
160,40,吉見　一起,中日,1.65,26,18,3,0,0,0.857,734,190.2,143,8,23,4,120,38,35,0.87,2.82
570,41,榊原　諒,日本ハム,1.66,60,1,3,0,23,0.25,233,59.2,39,1,16,3,36,12,11,0.92,2.99
305,41,金澤　健人,ソフトバンク,1.66,53,1,1,3,16,0.5,173,43.1,31,2,12,3,30,9,8,0.99,3.3
605,43,古川　秀一,オリックス,1.69,12,0,0,0,1,0.0,64,16.0,13,1,6,1,9,3,3,1.19,4.12
672,44,内海　哲也,巨人,1.7,28,18,5,0,0,0.7829999999999999,751,185.2,153,13,47,7,144,42,35,1.08,3.32
60,45,大竹　寛,広島,1.71,6,1,1,0,0,0.5,129,31.2,28,1,7,0,15,7,6,1.11,3.15
245,45,西村　憲,阪神,1.71,21,1,0,0,1,1.0,96,26.1,17,0,4,1,21,6,5,0.8,2.09
546,47,ソト,中日,1.73,22,5,1,0,0,0.833,311,78.0,65,4,19,2,59,18,15,1.08,3.08
271,47,山内　壮馬,中日,1.73,11,3,2,0,1,0.6,252,62.1,46,6,20,2,31,14,12,1.06,4.44
