ID,順位2014,選手名2014,チーム2014,防御率2014,試合2014,勝利2014,敗北2014,セlブ2014,ホlルド2014,勝率2014,打者2014,投球回2014,被安打2014,被本塁打2014,与四球2014,与死球2014,奪三振2014,失点2014,自責点2014,WHIP2014,DIPS2014
124,1,伊藤　義弘,ロッテ,0.00,5,1,0,0,0,1.0,23,5.0,4,0,3,1,3,0,0,1.40,4.32
273,1,森内　壽春,日本ハム,0.00,5,0,0,0,0,0.0,20,4.1,3,0,3,1,2,0,0,1.38,4.97
568,1,大田　阿斗里,DeNA,0.00,3,0,0,0,0,0.0,20,4.0,3,0,5,0,2,3,0,2.00,5.87
226,1,香月　良仁,ロッテ,0.00,2,0,0,0,0,0.0,11,3.0,1,0,0,0,3,0,0,0.33,1.12
346,1,小杉　陽太,DeNA,0.00,2,0,0,0,0,0.0,8,2.0,1,0,2,0,1,0,0,1.50,5.12
319,1,池ノ内　亮介,広島,0.00,2,0,0,0,0,0.0,9,2.0,2,0,2,0,0,0,0,2.00,6.12
282,1,平井　正史,オリックス,0.00,1,0,0,0,0,0.0,4,1.0,1,0,0,0,0,0,0,1.00,3.12
560,1,大山　暁史,オリックス,0.00,1,0,0,0,0,0.0,2,0.2,0,0,0,0,0,0,0,0.00,3.12
292,1,三瀬　幸司,中日,0.00,1,0,0,0,1,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88
275,11,ロマン,ヤクルト,0.56,16,1,0,5,0,1.0,65,16.0,11,0,7,1,9,2,1,1.13,3.50
368,12,一岡　竜司,広島,0.58,31,2,0,2,16,1.0,114,31.0,16,0,7,0,27,3,2,0.74,2.06
255,13,比嘉　幹貴,オリックス,0.79,62,7,1,0,20,0.875,231,56.2,53,2,12,1,48,9,5,1.15,2.47
602,14,久本　祐一,広島,0.82,8,0,0,0,0,0.0,43,11.0,7,0,4,0,10,2,1,1.00,2.39
130,15,サファテ,ソフトバンク,1.05,64,7,1,37,7,0.875,272,68.1,50,0,22,1,96,10,8,1.05,1.23
474,16,佐藤　達也,オリックス,1.09,67,6,4,1,42,0.6,288,74.1,39,4,30,2,85,11,9,0.93,2.82
723,17,五十嵐　亮太,ソフトバンク,1.52,63,1,3,2,44,0.25,226,59.1,33,0,18,1,71,11,10,0.86,1.69
546,18,ソト,DeNA,1.57,26,1,1,1,8,0.5,93,23.0,17,2,6,2,10,6,4,1.00,4.42
256,18,中澤　雅人,ヤクルト,1.57,24,1,0,0,4,1.0,98,23.0,20,1,10,0,20,5,4,1.30,3.12
561,20,谷元　圭介,日本ハム,1.59,52,5,1,1,12,0.833,260,68.0,41,4,19,2,63,14,12,0.88,2.96
627,21,大隣　憲司,ソフトバンク,1.64,9,3,1,0,0,0.75,204,55.0,34,2,14,2,45,11,10,0.87,2.83
877,22,桑原　謙太朗,オリックス,1.69,4,0,0,0,0,0.0,26,5.1,7,0,3,0,6,1,1,1.88,2.56
239,23,呉　昇桓,阪神,1.76,64,2,4,39,5,0.33299999999999996,258,66.2,41,5,13,1,81,18,13,0.81,2.21
98,24,岩尾　利弘,西武,1.80,13,1,0,0,1,1.0,79,20.0,15,0,4,2,21,6,4,0.95,1.92
570,24,榊原　諒,オリックス,1.80,11,0,0,0,0,0.0,63,15.0,15,1,6,0,8,4,3,1.40,4.12
595,26,福谷　浩司,中日,1.81,72,2,4,11,32,0.33299999999999996,298,74.2,54,2,26,1,72,15,15,1.07,2.62
279,27,宮田　和希,西武,1.84,10,0,0,0,1,0.0,63,14.2,14,1,8,0,17,3,3,1.50,3.32
386,28,西野　勇士,ロッテ,1.86,57,1,1,31,9,0.5,219,58.0,33,4,15,0,63,12,12,0.83,2.57
545,29,福山　博之,楽天,1.87,65,4,2,1,23,0.667,265,67.1,63,2,12,1,32,14,14,1.11,3.09
823,29,武田　翔太,ソフトバンク,1.87,7,3,3,0,0,0.5,185,43.1,36,1,22,2,43,15,9,1.34,3.10
