,登録名,チーム2018,総負け数,敗北2018,敗北2017,敗北2016,敗北2015,敗北2014,敗北2013,敗北2012,敗北2011,敗北2010,敗北2009
505,野村　亮介,,0.0,,,,0.0,,,,,,
504,土肥　寛昌,,0.0,,0.0,0.0,,,,,,,
697,西崎　聡,,0.0,,,,,,,,,,0.0
501,メンデス,,0.0,,0.0,,,,,,,,
701,佐藤　祥万,広島,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
491,木谷　寿巳,,0.0,,,,,,,,,0.0,0.0
472,秦　裕二,,0.0,,,,,,,,,0.0,
461,中崎　雄太,,0.0,,,,,,0.0,,,,
447,角屋　龍太,,0.0,,,0.0,,,,,,,
673,植村　祐介,,0.0,,,,,,,0.0,,,0.0
671,濱矢　廣大,楽天,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
443,土屋　朋弘,,0.0,,,,,,0.0,0.0,0.0,0.0,
578,島袋　洋奨,,0.0,,,,0.0,,,,,,
625,福田　岳洋,,0.0,,,,,,0.0,0.0,,0.0,
624,チルダース,,0.0,,,,,,,,,,0.0
612,コラレス,,0.0,,0.0,,,,,,,,
610,ライブリー,,0.0,,,,0.0,,,,,,
607,ロンドン,,0.0,,0.0,,,,,,,,
601,浜田　智博,,0.0,,,,0.0,,,,,,
644,チューク,,0.0,,,,,,,,,0.0,
647,中﨑　雄太,,0.0,,,0.0,,,,,,,
585,竹安　大知,,0.0,,0.0,,,,,,,,
651,大竹　耕太郎,ソフトバンク,0.0,0.0,,,,,,,,,
581,岡本　健,ソフトバンク,0.0,0.0,0.0,0.0,,,,,,,
577,Ｃ．Ｃ．リー,,0.0,,,0.0,,,,,,,
669,小澤　怜史,,0.0,,0.0,,,,,,,,
655,山本　翔也,阪神,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
657,高橋　徹,,0.0,,,,,,,,,0.0,
658,高堀　和也,,0.0,,,,,,0.0,0.0,,,
572,綾部　翔,,0.0,,0.0,,,,,,,,
571,島本　浩也,阪神,0.0,0.0,,0.0,0.0,,,,,,
569,國場　翼,,0.0,,,0.0,,,,,,,
663,木村　正太,,0.0,,,,,,,,,,0.0
564,高木　伴,,0.0,,,,0.0,,,,,,
563,中島　彰吾,,0.0,,0.0,,,,,,,,
666,坂寄　晴一,,0.0,,,,0.0,,,,,,
560,大山　暁史,オリックス,0.0,0.0,0.0,0.0,,0.0,,,,,
444,栂野　雅史,,0.0,,,,,,,,,0.0,0.0
438,小島　心二郎,,0.0,,,,,,,,,0.0,
279,宮田　和希,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0
319,池ノ内　亮介,,0.0,,,,,0.0,,,,,
357,中里　篤史,,0.0,,,,,,,,,0.0,0.0
356,高木　晃次,,0.0,,,,,,,,,,0.0
757,金村　大裕,,0.0,,,,,,,,,,0.0
347,小林正,,0.0,,,,,,,0.0,,,
759,森　跳二,,0.0,,,,,,,,,0.0,0.0
338,デラクルス,,0.0,,,,,,,,,0.0,
335,野川　拓斗,,0.0,,,0.0,,,,,,,
766,ロドリゲス,,0.0,,,,,,,,,,
328,伊東　昂大,,0.0,,,,,,,,,0.0,
322,屋宜　照悟,,0.0,,0.0,,0.0,,0.0,,,,
772,田村　丈,DeNA,0.0,0.0,,,,,,,,,
318,アコスタ,,0.0,,,,,,0.0,,,,
358,大場　達也,,0.0,,,,,,0.0,,,,
315,金平　将至,,0.0,,,0.0,0.0,0.0,,,,,
777,清水　達也,中日,0.0,0.0,,,,,,,,,
307,ミランダ,ソフトバンク,0.0,0.0,,,,,,,,,
780,丸山　貴史,,0.0,,,,,,,,,,0.0
300,谷中　真二,,0.0,,,,,,,,,0.0,0.0
784,星野　真澄,,0.0,,,,,,,0.0,0.0,0.0,
297,瀬川　隼郎,,0.0,,,0.0,0.0,,,,,,
295,松本　直晃,西武,0.0,0.0,,0.0,,,,,,,
789,髙橋　純平,,0.0,,0.0,,,,,,,,
791,藤原　正典,,0.0,,,,,,0.0,0.0,0.0,0.0,
283,阿南　徹,,0.0,,,,,0.0,0.0,,0.0,0.0,
753,山岸　穣,,0.0,,,,,,,,0.0,0.0,0.0
359,今野　龍太,楽天,0.0,0.0,,,0.0,0.0,,,,,
715,山本　徹矢,,0.0,,,,,,,,0.0,,
734,土田　瑞起,,0.0,,,0.0,0.0,0.0,,,,,
433,小林　雅英,,0.0,,,,,,,,0.0,0.0,
423,齊藤　勝,,0.0,,,,,0.0,0.0,,,,
422,石橋　良太,,0.0,,,0.0,,,,,,,
421,高木　京介,巨人,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
420,竹下　真吾,,0.0,,,0.0,,,,,,,
419,宮﨑　敦次,,0.0,,0.0,0.0,,,,,,,
726,高井　雄平,,0.0,,,,,,,,,,0.0
416,ウエスト,,0.0,,0.0,,,,,,,,
400,佐藤　峻一,,0.0,,,0.0,,,,,,,
394,陳　冠宇,,0.0,,,,,0.0,,,,,
392,福倉　健太郎,,0.0,,0.0,,0.0,,,,,,
735,フィリップス,,0.0,,,,,0.0,,,,,
360,梶本　達哉,,0.0,,,,,,,,0.0,,
391,小宮山　悟,,0.0,,,,,,,,,,0.0
390,田川　賢吾,ヤクルト,0.0,0.0,,,,,,,,,
738,南川　忠亮,西武,0.0,0.0,0.0,0.0,,,,,,,
739,根本　朋久,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0
389,ブラゾバン,,0.0,,,,,,,,0.0,,
384,カストロ,,0.0,,,,,,,0.0,,,
742,藤井　皓哉,広島,0.0,0.0,0.0,,,,,,,,
743,藪　恵壹,,0.0,,,,,,,,,0.0,
380,運天　ジョン・クレイトン,,0.0,,,,,,,,0.0,,
375,鴨志田　貴司,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0
367,加藤　正志,,0.0,,,0.0,0.0,,,,,,
905,オスカル,,0.0,,0.0,0.0,,,,,,,
