ID,順位2016,選手名2016,チーム2016,防御率2016,試合2016,勝利2016,敗北2016,セlブ2016,ホlルド2016,勝率2016,打者2016,投球回2016,被安打2016,被本塁打2016,与四球2016,与死球2016,奪三振2016,失点2016,自責点2016,WHIP2016,DIPS2016
648,1,田中　豊樹,日本ハム,0.0,4,0,0,0,1,0.0,14,3.1,2,0,3,0,2,0,0,1.5,4.62
567,1,飯田　哲矢,広島,0.0,2,0,0,0,0,0.0,14,3.1,4,0,0,0,4,0,0,1.2,0.72
632,1,國場　翼,西武,0.0,2,0,0,0,0,0.0,12,3.0,2,0,3,0,4,0,0,1.67,3.45
653,1,近藤　大亮,オリックス,0.0,1,0,0,0,0,0.0,16,3.0,4,0,1,0,2,1,0,1.67,2.79
474,1,松本　直晃,西武,0.0,2,0,0,0,0,0.0,12,2.2,3,0,2,0,1,0,0,1.88,4.62
79,1,乾　真大,巨人,0.0,2,0,0,0,0,0.0,12,2.1,1,0,2,0,3,2,0,1.29,3.12
88,1,宮﨑　敦次,ロッテ,0.0,2,0,0,0,0,0.0,6,2.0,0,0,0,0,2,0,0,0.0,1.12
365,1,デラバー,広島,0.0,2,0,0,0,0,0.0,6,2.0,0,0,0,0,4,0,0,0.0,-0.88
419,1,上原　健太,日本ハム,0.0,1,0,0,0,1,0.0,4,1.0,1,0,0,0,1,0,0,1.0,1.12
594,1,瀬川　隼郎,日本ハム,0.0,1,0,0,0,0,0.0,3,1.0,0,0,1,0,0,0,0,1.0,6.12
240,1,石川　直也,日本ハム,0.0,1,0,0,0,1,0.0,4,1.0,0,0,1,0,0,0,0,1.0,6.12
640,1,望月　惇志,阪神,0.0,1,0,0,0,0,0.0,4,1.0,1,0,0,0,1,0,0,1.0,1.12
611,1,金平　将至,日本ハム,0.0,1,0,0,0,0,0.0,4,0.2,0,0,1,1,0,0,0,1.5,12.12
861,1,雄太,中日,0.0,1,0,0,0,0,0.0,1,0.1,0,0,0,0,0,0,0,0.0,3.12
827,1,岩田　慎司,中日,0.0,1,0,0,0,0,0.0,1,0.1,0,0,0,0,0,0,0,0.0,3.12
38,1,武田　勝,日本ハム,0.0,1,0,0,0,0,0.0,1,0.1,0,0,0,0,1,0,0,0.0,-2.88
581,1,山内　壮馬,楽天,0.0,1,0,0,0,0,0.0,1,0.1,0,0,0,0,0,0,0,0.0,3.12
484,18,松田　遼馬,阪神,1.0,22,1,0,0,1,1.0,102,27.0,14,2,9,0,26,3,3,0.85,2.93
453,19,マーティン,日本ハム,1.07,52,2,0,21,19,1.0,182,50.2,25,2,7,0,57,8,6,0.63,1.8
727,21,中﨑　翔太,広島,1.32,61,3,4,34,7,0.429,251,61.1,50,2,19,2,54,11,9,1.13,2.71
467,22,内　竜也,ロッテ,1.39,34,3,1,1,19,0.75,125,32.1,17,3,12,0,34,5,5,0.9,3.24
341,23,豊田　拓矢,西武,1.5,6,0,0,0,0,0.0,29,6.0,7,0,3,0,7,1,1,1.67,2.29
717,23,大隣　憲司,ソフトバンク,1.5,1,1,0,0,0,1.0,25,6.0,4,0,2,2,4,1,1,1.0,3.79
877,23,八木　智哉,中日,1.5,1,0,0,0,0,0.0,22,6.0,3,1,2,0,2,1,1,0.83,5.62
320,26,宮西　尚生,日本ハム,1.52,58,3,1,2,39,0.75,190,47.1,28,0,22,5,36,11,8,1.06,3.25
758,27,牧田　和久,西武,1.6,50,7,1,0,25,0.875,312,78.2,54,3,16,10,43,15,14,0.89,3.44
646,28,石井　裕也,日本ハム,1.65,22,0,0,0,12,0.0,63,16.1,11,0,4,0,16,3,3,0.92,1.9
271,29,増田　達至,西武,1.66,53,3,5,28,5,0.375,232,54.1,51,1,15,2,53,13,10,1.21,2.07
261,30,石崎　剛,阪神,1.69,10,0,0,0,3,0.0,42,10.2,6,0,7,0,6,2,2,1.22,3.96
801,30,髙橋　朋己,西武,1.69,7,1,0,1,3,1.0,23,5.1,5,0,3,0,2,1,1,1.5,4.06
884,32,ジャクソン,広島,1.71,67,5,4,0,37,0.556,271,68.1,46,4,23,0,89,15,13,1.01,2.29
693,32,大石　達也,西武,1.71,36,1,0,0,3,1.0,126,31.2,18,2,16,0,36,6,6,1.07,3.18
61,34,マテオ,阪神,1.8,52,1,3,20,7,0.25,226,55.0,40,2,24,2,56,12,11,1.16,2.92
397,35,一岡　竜司,広島,1.82,27,1,1,0,5,0.5,96,24.2,16,0,10,0,21,5,5,1.05,2.63
748,36,益田　直也,ロッテ,1.83,61,3,2,14,21,0.6,238,59.0,53,2,16,0,36,13,12,1.17,3.05
343,37,大谷　翔平,日本ハム,1.86,21,10,4,0,1,0.7140000000000001,548,140.0,89,4,45,8,174,33,29,0.96,2.14
722,38,サファテ,ソフトバンク,1.88,64,0,7,43,8,0.0,237,62.1,40,4,11,0,73,15,13,0.82,2.09
85,39,平野　佳寿,オリックス,1.92,58,4,4,31,8,0.5,237,61.0,44,2,16,1,57,13,13,0.98,2.51
239,40,岩嵜　翔,ソフトバンク,1.95,35,4,2,1,9,0.667,347,87.2,77,6,17,0,61,22,19,1.07,3.2
