,登録名,チーム2018,WHIP2018,WHIP2017,WHIP2016,WHIP2015,WHIP2014,WHIP2013,WHIP2012,WHIP2011,WHIP2010,WHIP2009
160,吉見　一起,中日,1.23,1.41,1.23,0.96,1.20,1.38,0.97,0.87,1.17,1.05
74,メッセンジャー,阪神,1.23,1.24,1.28,1.15,1.23,1.17,1.17,1.16,1.48,
141,秋山　拓巳,阪神,1.23,1.09,1.25,1.19,3.30,1.30,2.13,2.05,1.14,
281,西　勇輝,オリックス,1.23,1.16,1.32,1.13,1.16,1.33,1.13,1.03,1.11,0.25
113,東浜　巨,ソフトバンク,1.24,1.12,1.11,1.82,1.64,1.26,,,,
408,黒木　優太,オリックス,1.24,1.22,,,,,,,,
196,宋　家豪,楽天,1.24,,,,,,,,,
879,上原　健太,日本ハム,1.24,1.85,1.0,,,,,,,
582,成田　翔,ロッテ,1.25,1.30,,,,,,,,
782,則本　昂大,楽天,1.25,1.06,1.24,1.15,1.12,1.14,,,,
659,藤岡　好明,DeNA,1.25,2.31,,1.70,1.83,1.43,0.99,1.8,1.43,1.34
172,今村　信貴,巨人,1.25,2.37,1.59,,1.68,1.29,,,,
366,岩田　稔,阪神,1.25,1.45,2.26,1.27,1.12,1.35,1.29,0.98,,1.14
858,高梨　裕稔,日本ハム,1.25,1.28,1.05,1.09,,,,,,
364,原　樹理,ヤクルト,1.26,1.27,1.57,,,,,,,
638,石川　柊太,ソフトバンク,1.26,1.21,,,,,,,,
544,ジョンソン,広島,1.26,1.36,1.13,1.10,,,,,,
371,榎田　大樹,西武,1.27,1.89,1.39,1.50,1.79,1.17,1.32,1.12,,
530,高梨　雄平,楽天,1.27,1.10,,,,,,,,
702,ガルシア,中日,1.27,,,,,,,,,
725,マルティネス,日本ハム,1.27,,,,,,,,,
355,久保　裕也,楽天,1.27,1.30,1.42,,1.34,,4.00,0.94,1.04,1.24
823,武田　翔太,ソフトバンク,1.28,1.42,1.27,1.22,1.34,1.58,0.99,,,
761,今井　達也,西武,1.28,,,,,,,,,
650,小川　泰弘,ヤクルト,1.28,1.15,1.27,1.19,1.30,1.12,,,,
514,田中　健二朗,DeNA,1.29,1.37,1.45,1.38,1.57,1.69,1.33,2.0,1.28,
822,石川　直也,日本ハム,1.29,1.63,1.0,,,,,,,
248,多和田　真三郎,西武,1.29,1.23,1.43,,,,,,,
131,バンデンハーク,ソフトバンク,1.29,1.14,0.96,0.98,,,,,,
