ID,順位2010,選手名2010,チーム2010,防御率2010,試合2010,勝利2010,敗北2010,セlブ2010,ホlルド2010,勝率2010,打者2010,投球回2010,被安打2010,被本塁打2010,与四球2010,与死球2010,奪三振2010,失点2010,自責点2010,WHIP2010,DIPS2010
597,171,上園　啓史,阪神,4.75,25,3,4,0,0,0.429,265,60.2,60,8,27,1,39,36,32,1.43,4.88
502,172,小松　聖,オリックス,4.77,29,5,8,0,2,0.385,381,83.0,107,10,27,4,58,47,44,1.61,4.30
105,173,木田　優夫,日本ハム,4.78,21,5,2,0,3,0.7140000000000001,235,52.2,63,7,23,3,30,28,28,1.63,5.19
236,173,レスター,オリックス,4.78,35,2,2,10,0,0.5,178,37.2,45,3,16,2,33,21,20,1.62,3.76
190,175,松井　光介,ヤクルト,4.80,21,0,1,0,0,0.0,129,30.0,30,5,11,1,25,17,16,1.37,4.82
10,176,コーリー,ロッテ,4.87,14,4,4,0,0,0.5,194,44.1,48,8,17,2,30,28,24,1.47,5.40
878,177,秋親,ロッテ,4.88,28,1,0,0,2,1.0,146,31.1,31,3,20,6,29,17,17,1.63,5.00
410,177,カーライル,日本ハム,4.88,7,0,3,0,0,0.0,125,27.2,35,2,11,1,14,18,15,1.66,4.35
850,179,バルデス,中日,4.91,8,1,3,0,0,0.25,150,33.0,36,4,14,3,13,23,18,1.52,5.27
743,179,藪　恵壹,楽天,4.91,11,0,0,0,2,0.0,48,11.0,9,2,6,2,6,6,6,1.36,6.57
77,179,河原　純一,中日,4.91,4,0,1,0,2,0.0,16,3.2,5,0,0,0,1,2,2,1.36,2.57
74,182,メッセンジャー,阪神,4.93,26,5,6,0,1,0.455,350,80.1,88,10,31,1,48,49,44,1.48,4.59
639,183,上野　弘文,広島,4.94,27,1,2,2,7,0.33299999999999996,121,27.1,34,7,8,1,11,17,15,1.54,6.63
65,184,辛島　航,楽天,4.97,12,0,1,0,5,0.0,58,12.2,15,2,5,0,11,8,7,1.58,4.62
334,184,田中　靖洋,西武,4.97,11,0,1,0,0,0.0,60,12.2,16,1,6,0,7,9,7,1.74,4.46
60,186,大竹　寛,広島,5.00,3,1,0,0,0,1.0,86,18.0,22,2,10,2,9,10,10,1.78,5.56
289,186,眞下　貴之,横浜,5.00,2,0,1,0,0,0.0,42,9.0,9,3,6,1,5,5,5,1.67,8.68
691,188,金刃　憲人,巨人,5.03,21,1,0,0,4,1.0,91,19.2,22,4,8,1,18,15,11,1.53,5.31
853,189,スタルツ,広島,5.07,21,6,10,0,0,0.375,560,124.1,149,23,46,3,87,74,70,1.57,5.28
649,190,井坂　亮平,楽天,5.09,7,2,4,0,0,0.33299999999999996,164,35.1,50,5,12,2,17,24,20,1.75,5.19
515,190,李　恵踐,ヤクルト,5.09,19,0,1,0,5,0.0,73,17.2,11,4,7,1,18,10,10,1.02,5.38
352,192,江草　仁貴,阪神,5.12,21,1,0,0,2,1.0,89,19.1,22,1,13,0,15,12,11,1.81,3.95
185,193,野上　亮磨,西武,5.14,27,2,2,0,1,0.5,319,68.1,92,9,23,4,40,40,39,1.68,4.80
163,193,大島　崇行,広島,5.14,53,1,5,3,9,0.16699999999999998,252,56.0,61,7,21,6,46,33,32,1.46,4.50
433,193,小林　雅英,巨人,5.14,12,0,0,1,1,0.0,64,14.0,19,0,5,0,2,8,8,1.71,3.91
181,196,大嶺　祐太,ロッテ,5.17,13,3,6,0,0,0.33299999999999996,320,71.1,78,12,34,3,52,48,41,1.57,5.41
509,197,福原　忍,阪神,5.18,19,0,1,0,0,0.0,104,24.1,25,5,10,0,20,15,14,1.44,5.38
399,199,多田野　数人,日本ハム,5.19,2,0,1,0,0,0.0,39,8.2,10,0,3,0,8,5,5,1.50,2.31
609,200,オビスポ,巨人,5.21,14,2,3,0,1,0.4,223,48.1,60,9,18,7,22,33,28,1.61,6.12
773,201,高宮　和也,横浜,5.23,21,0,0,0,3,0.0,56,10.1,18,0,1,5,11,7,6,1.84,2.73
524,202,ゴンザレス,巨人,5.29,25,5,13,0,0,0.278,585,132.2,161,12,32,11,88,80,78,1.45,3.92
769,202,小椋　真介,ソフトバンク,5.29,24,4,8,0,0,0.33299999999999996,468,102.0,98,14,67,3,113,65,60,1.62,4.72
1,204,今井　啓介,広島,5.30,11,0,4,0,0,0.0,167,37.1,42,7,18,3,24,26,22,1.61,5.96
709,205,清水　直行,横浜,5.40,26,10,11,0,0,0.47600000000000003,699,155.0,203,26,39,8,105,98,93,1.56,4.84
265,205,山本　一徳,日本ハム,5.40,6,0,0,0,0,0.0,44,10.0,8,1,8,0,9,6,6,1.60,4.72
439,207,山本　省吾,オリックス,5.47,23,8,10,0,1,0.444,478,107.0,143,19,20,8,79,71,65,1.52,4.74
720,208,グライシンガー,巨人,5.48,6,0,2,0,0,0.0,96,21.1,31,5,1,1,16,14,13,1.50,4.95
801,209,西口　文也,西武,5.49,13,3,2,0,0,0.6,261,57.1,65,8,27,2,43,36,35,1.60,4.95
730,210,中村　勝,日本ハム,5.50,4,1,2,0,0,0.33299999999999996,81,18.0,18,2,10,0,14,11,11,1.56,4.68
483,211,高橋　秀聡,ソフトバンク,5.55,5,2,2,0,0,0.5,108,24.1,29,1,10,3,16,15,15,1.60,3.82
781,212,齊藤　悠葵,広島,5.58,23,4,7,0,1,0.364,459,100.0,135,13,37,3,49,63,62,1.72,4.97
472,213,秦　裕二,横浜,5.59,9,1,0,0,0,1.0,45,9.2,15,2,4,0,7,6,6,1.97,5.60
44,214,朝倉　健太,中日,5.66,9,3,6,0,0,0.33299999999999996,195,41.1,56,8,13,2,31,29,26,1.67,5.22
256,215,中澤　雅人,ヤクルト,5.68,23,7,9,0,0,0.43799999999999994,483,107.2,130,23,40,2,62,76,68,1.58,5.89
