ID,順位2009,選手名2009,チーム2009,防御率2009,試合2009,勝利2009,敗北2009,セlブ2009,ホlルド2009,勝率2009,打者2009,投球回2009,被安打2009,被本塁打2009,与四球2009,与死球2009,奪三振2009,失点2009,自責点2009,WHIP2009,DIPS2009
863,1,小嶋　達也,阪神,0.00,1,0,0,0,0,0.0,22,6.0,3,0,2,0,2,1,0,0.83,3.45
686,1,西　勇輝,オリックス,0.00,3,0,0,0,0,0.0,13,4.0,0,0,1,0,2,0,0,0.25,2.87
337,1,小林　賢司,オリックス,0.00,2,0,0,0,0,0.0,6,1.0,1,0,2,0,1,0,0,3.00,7.12
338,1,山村　宏樹,楽天,0.00,1,0,0,0,0,0.0,4,1.0,1,0,0,1,0,0,0,1.00,6.12
532,1,伊藤　準規,中日,0.00,1,0,0,0,0,0.0,4,1.0,0,0,0,1,1,0,0,0.00,4.12
865,1,岡本　秀寛,ヤクルト,0.00,1,0,0,0,0,0.0,3,1.0,1,0,0,0,1,0,0,1.00,1.12
687,1,西崎　聡,ヤクルト,0.00,1,0,0,0,0,0.0,4,1.0,1,0,0,0,1,0,0,1.00,1.12
65,1,高井　雄平,ヤクルト,0.00,1,0,0,0,0,0.0,4,1.0,1,0,0,0,0,0,0,1.00,3.12
672,1,鶴　直人,阪神,0.00,1,0,0,0,0,0.0,5,1.0,1,0,1,0,0,0,0,2.00,6.12
380,1,金村　大裕,阪神,0.00,1,0,0,0,0,0.0,5,1.0,0,0,2,0,1,0,0,2.00,7.12
332,1,伊藤　剛,日本ハム,0.00,1,0,0,0,0,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88
813,12,小林　正人,中日,0.84,32,3,1,0,1,0.75,82,21.1,15,1,7,1,19,2,2,1.03,3.07
526,12,金森　敬之,日本ハム,0.84,18,0,0,0,2,0.0,86,21.1,17,0,8,1,9,2,2,1.17,3.54
123,14,武田　久,日本ハム,1.20,55,3,0,34,4,1.0,243,60.0,54,1,14,0,38,10,8,1.13,2.77
143,15,藤川　球児,阪神,1.25,49,5,3,25,3,0.625,217,57.2,32,4,15,1,86,9,8,0.82,1.77
750,16,クルーン,巨人,1.26,46,1,3,27,1,0.25,206,50.0,36,1,19,2,57,10,7,1.10,2.36
886,17,山口　鉄也,巨人,1.27,73,9,1,4,35,0.9,292,78.0,53,1,14,5,62,12,11,0.86,2.39
583,18,橋本　義隆,ヤクルト,1.35,13,0,0,0,0,0.0,76,20.0,12,3,6,0,12,6,3,0.90,4.62
276,19,攝津　正,ソフトバンク,1.47,70,5,2,0,34,0.7140000000000001,321,79.2,51,3,35,1,102,13,13,1.08,2.33
114,20,チェン,中日,1.54,24,8,4,0,0,0.667,644,164.0,113,10,40,3,146,32,28,0.93,2.92
614,21,高木　啓充,ヤクルト,1.64,12,4,0,0,1,1.0,174,44.0,34,3,11,2,19,8,8,1.02,3.96
309,22,アッチソン,阪神,1.70,75,5,3,0,30,0.625,338,90.0,60,3,20,1,81,20,17,0.89,2.42
897,23,ダルビッシュ　有,日本ハム,1.73,23,15,5,0,0,0.75,701,182.0,118,9,45,6,167,36,35,0.90,2.77
142,24,ファルケンボーグ,ソフトバンク,1.74,46,6,0,1,23,1.0,199,51.2,39,1,9,1,62,11,10,0.93,1.55
325,25,桑原　謙太朗,横浜,1.76,11,0,0,0,0,0.0,117,30.2,18,2,9,2,17,6,6,0.88,3.94
