ID,順位2017,選手名2017,チーム2017,防御率2017,試合2017,勝利2017,敗北2017,セlブ2017,ホlルド2017,勝率2017,打者2017,投球回2017,被安打2017,被本塁打2017,与四球2017,与死球2017,奪三振2017,失点2017,自責点2017,WHIP2017,DIPS2017
220,1,綾部　翔,DeNA,0.00,1,1,0,0,0,1.0,21,5.0,4,0,2,0,5,0,0,1.20,2.32
734,1,笠谷　俊介,ソフトバンク,0.00,3,0,0,0,1,0.0,12,3.1,1,0,1,0,5,0,0,0.60,1.02
657,1,小林　寛,DeNA,0.00,3,0,0,0,0,0.0,16,3.0,5,0,2,0,3,0,0,2.33,3.12
423,1,才木　浩人,阪神,0.00,2,0,0,0,1,0.0,13,2.2,2,0,3,0,3,0,0,1.88,4.25
189,1,藤井　皓哉,広島,0.00,2,0,0,0,1,0.0,5,1.2,0,0,0,0,1,0,0,0.00,1.92
694,1,新垣　勇人,日本ハム,0.00,1,0,0,0,0,0.0,4,1.0,1,0,0,0,0,0,0,1.00,3.12
194,1,竹安　大知,阪神,0.00,1,1,0,0,0,1.0,3,1.0,0,0,0,0,1,0,0,0.00,1.12
693,8,大石　達也,西武,0.93,20,2,0,0,4,1.0,77,19.1,10,0,11,1,17,2,2,1.09,3.07
604,9,高梨　雄平,楽天,1.03,46,1,0,0,14,1.0,183,43.2,31,2,17,2,48,13,5,1.10,2.75
479,10,福山　博之,楽天,1.06,65,6,0,7,23,1.0,237,59.2,49,2,14,3,31,8,7,1.06,3.32
722,11,サファテ,ソフトバンク,1.09,66,2,2,54,3,0.5,238,66.0,34,3,10,1,102,9,8,0.67,1.12
261,12,石崎　剛,阪神,1.17,26,1,1,0,4,0.5,123,30.2,16,1,15,2,32,4,4,1.01,3.12
453,13,マーティン,日本ハム,1.19,40,0,2,1,29,0.0,137,37.2,21,2,6,1,34,5,5,0.72,2.56
80,14,松井　裕樹,楽天,1.20,52,3,3,33,5,0.5,214,52.2,31,0,26,1,62,8,7,1.08,2.30
727,15,中﨑　翔太,広島,1.40,59,4,1,10,25,0.8,218,57.2,33,2,20,0,36,9,9,0.92,3.36
649,16,榎田　大樹,阪神,1.42,3,0,0,0,1,0.0,30,6.1,10,0,2,0,6,2,1,1.89,2.17
621,17,山井　大介,中日,1.50,2,2,0,0,0,1.0,44,12.0,8,1,1,1,5,2,2,0.75,3.87
325,18,桑原　謙太朗,阪神,1.51,67,4,2,0,39,0.667,261,65.2,52,2,10,3,63,11,11,0.94,2.19
280,19,藤原　良平,西武,1.54,8,0,0,0,0,0.0,53,11.2,10,1,7,2,5,3,2,1.46,5.69
300,20,菅野　智之,巨人,1.59,25,17,5,0,0,0.773,713,187.1,129,10,31,1,171,36,33,0.85,2.50
606,21,山﨑　康晃,DeNA,1.64,68,4,2,26,15,0.667,260,65.2,52,3,13,1,84,16,12,0.99,1.80
822,22,髙橋　聡文,阪神,1.70,61,6,0,1,20,1.0,184,47.2,29,1,14,1,51,9,9,0.90,2.20
426,23,五十嵐　亮太,ソフトバンク,1.73,46,6,0,0,11,1.0,170,41.2,20,2,21,3,28,8,8,0.98,4.13
777,24,岩橋　慶侍,ヤクルト,1.80,2,0,2,0,0,0.0,43,10.0,8,1,5,0,8,4,2,1.30,4.32
806,24,横山　雄哉,阪神,1.80,1,1,0,0,0,1.0,22,5.0,6,0,2,0,5,1,1,1.60,2.32
397,26,一岡　竜司,広島,1.85,59,6,2,1,19,0.75,234,58.1,42,1,20,0,58,14,12,1.06,2.38
378,27,菊池　雄星,西武,1.97,26,16,6,0,0,0.727,735,187.2,122,16,49,6,217,49,41,0.91,2.79
591,28,野田　昇吾,西武,1.98,38,1,0,0,1,1.0,143,36.1,21,1,15,1,26,8,8,0.99,3.37
442,28,田中　靖洋,ロッテ,1.98,13,1,0,1,0,1.0,50,13.2,5,0,4,1,6,3,3,0.66,3.34
239,30,岩嵜　翔,ソフトバンク,1.99,72,6,3,2,40,0.667,289,72.1,55,8,16,2,66,16,16,0.98,3.48
884,31,ジャクソン,広島,2.03,60,2,2,1,30,0.5,243,62.0,43,5,19,1,55,16,14,1.00,3.36
25,32,又吉　克樹,中日,2.13,50,8,3,0,21,0.727,434,110.0,84,7,36,5,78,27,26,1.09,3.65
878,33,小川　龍也,中日,2.19,18,0,0,0,3,0.0,55,12.1,11,0,5,3,9,3,3,1.30,3.61
143,34,藤川　球児,阪神,2.22,52,3,0,0,6,1.0,232,56.2,41,3,24,5,71,15,14,1.15,2.78
879,35,マシソン,巨人,2.24,59,4,4,2,27,0.5,270,68.1,52,6,18,1,79,18,17,1.02,2.78
33,36,マイコラス,巨人,2.25,27,14,8,0,0,0.636,745,188.0,162,10,23,11,187,53,47,0.98,2.36
115,36,国吉　佑樹,DeNA,2.25,4,0,0,0,0,0.0,30,8.0,5,0,4,0,3,2,2,1.13,3.87
202,38,藤平　尚真,楽天,2.28,8,3,4,0,0,0.429,176,43.1,30,2,15,4,44,12,11,1.04,3.00
430,39,ジョーダン,中日,2.30,18,6,4,0,0,0.6,310,74.1,52,2,35,6,66,25,19,1.17,3.35
758,39,牧田　和久,西武,2.30,58,3,3,0,28,0.5,248,62.2,59,4,5,3,35,18,16,1.02,3.22
630,39,青山　浩二,楽天,2.30,17,1,1,0,3,0.5,68,15.2,12,1,6,3,16,4,4,1.15,3.63
890,42,今村　猛,広島,2.38,68,3,5,23,17,0.375,270,64.1,53,6,27,0,69,19,17,1.24,3.45
29,42,榎下　陽大,日本ハム,2.38,8,0,1,0,0,0.0,51,11.1,14,1,4,0,6,3,3,1.59,4.27
661,44,メッセンジャー,阪神,2.39,22,11,5,0,0,0.688,594,143.0,134,5,44,1,155,42,38,1.24,2.35
708,44,岩崎　優,阪神,2.39,66,4,1,0,15,0.8,311,71.2,63,2,27,5,88,28,19,1.26,2.32
757,44,増井　浩俊,日本ハム,2.39,52,6,1,27,7,0.857,215,52.2,47,6,11,0,82,15,14,1.10,2.06
271,47,増田　達至,西武,2.40,57,1,5,28,4,0.16699999999999998,220,56.1,41,7,13,0,58,17,15,0.96,3.26
192,47,平井　克典,西武,2.40,42,2,0,0,4,1.0,184,45.0,43,4,10,3,42,15,12,1.18,3.28
681,49,カミネロ,巨人,2.42,57,3,5,29,4,0.375,268,63.1,56,4,23,4,65,21,17,1.25,3.17
425,49,飯田　優也,ソフトバンク,2.42,19,0,0,0,2,0.0,98,22.1,18,2,15,2,17,6,6,1.48,5.05
895,51,和田　毅,ソフトバンク,2.49,8,4,0,0,0,1.0,181,47.0,34,1,8,0,34,13,13,0.89,2.46
700,52,モイネロ,ソフトバンク,2.52,34,4,3,1,15,0.5710000000000001,141,35.2,21,1,14,2,36,15,10,0.98,2.73
46,53,鍵谷　陽平,日本ハム,2.53,60,2,3,1,17,0.4,218,57.0,33,6,17,0,46,23,16,0.88,3.77
305,54,則本　昂大,楽天,2.57,25,15,7,0,0,0.682,750,185.2,148,11,48,3,222,63,53,1.06,2.31
775,54,祖父江　大輔,中日,2.57,35,2,2,1,9,0.5,173,42.0,38,1,17,0,26,12,12,1.31,3.41
294,56,薮田　和樹,広島,2.58,38,15,3,0,3,0.833,536,129.0,102,10,51,4,115,42,37,1.19,3.62
782,57,玉井　大翔,日本ハム,2.59,24,1,2,0,1,0.33299999999999996,99,24.1,17,2,7,3,12,8,7,0.99,4.44
185,58,高木　勇人,巨人,2.63,16,1,2,0,1,0.33299999999999996,108,27.1,20,4,5,3,15,9,8,0.91,4.80
355,59,東浜　巨,ソフトバンク,2.64,24,16,5,0,0,0.762,637,160.0,135,17,44,1,139,48,47,1.12,3.61
781,59,千賀　滉大,ソフトバンク,2.64,22,13,4,0,0,0.765,572,143.0,107,15,46,2,151,47,42,1.07,3.38
85,61,平野　佳寿,オリックス,2.67,58,3,7,29,8,0.3,240,57.1,57,5,16,1,47,19,17,1.27,3.50
412,62,ヘルメン,オリックス,2.68,44,2,1,3,13,0.667,210,47.0,44,4,24,2,51,16,14,1.45,3.52
323,63,パットン,DeNA,2.70,62,4,3,7,27,0.5710000000000001,247,60.0,50,4,19,2,66,19,18,1.15,2.69
162,63,中田　廉,広島,2.70,53,2,4,0,13,0.33299999999999996,196,46.2,37,4,20,1,50,15,14,1.22,3.25
558,63,公文　克彦,日本ハム,2.70,41,3,0,0,3,1.0,154,36.2,39,2,8,2,33,11,11,1.28,2.68
