,順位2018,選手名2018,チーム2018,防御率2018,試合2018,勝利2018,敗北2018,セlブ2018,ホlルド2018,勝率2018,打者2018,投球回2018,被安打2018,被本塁打2018,与四球2018,与死球2018,奪三振2018,失点2018,自責点2018,WHIP2018,DIPS2018,順位2017,選手名2017,チーム2017,防御率2017,試合2017,勝利2017,敗北2017,セlブ2017,ホlルド2017,勝率2017,打者2017,投球回2017,被安打2017,被本塁打2017,与四球2017,与死球2017,奪三振2017,失点2017,自責点2017,WHIP2017,DIPS2017,順位2016,選手名2016,チーム2016,防御率2016,試合2016,勝利2016,敗北2016,セlブ2016,ホlルド2016,勝率2016,打者2016,投球回2016,被安打2016,被本塁打2016,与四球2016,与死球2016,奪三振2016,失点2016,自責点2016,WHIP2016,DIPS2016,順位2015,選手名2015,チーム2015,防御率2015,試合2015,勝利2015,敗北2015,セlブ2015,ホlルド2015,勝率2015,打者2015,投球回2015,被安打2015,被本塁打2015,与四球2015,与死球2015,奪三振2015,失点2015,自責点2015,WHIP2015,DIPS2015,順位2014,選手名2014,チーム2014,防御率2014,試合2014,勝利2014,敗北2014,セlブ2014,ホlルド2014,勝率2014,打者2014,投球回2014,被安打2014,被本塁打2014,与四球2014,与死球2014,奪三振2014,失点2014,自責点2014,WHIP2014,DIPS2014,順位2013,選手名2013,チーム2013,防御率2013,試合2013,勝利2013,敗北2013,セlブ2013,ホlルド2013,勝率2013,打者2013,投球回2013,被安打2013,被本塁打2013,与四球2013,与死球2013,奪三振2013,失点2013,自責点2013,WHIP2013,DIPS2013,順位2012,選手名2012,チーム2012,防御率2012,試合2012,勝利2012,敗北2012,セlブ2012,ホlルド2012,勝率2012,打者2012,投球回2012,被安打2012,被本塁打2012,与四球2012,与死球2012,奪三振2012,失点2012,自責点2012,WHIP2012,DIPS2012,順位2011,選手名2011,チーム2011,防御率2011,試合2011,勝利2011,敗北2011,セlブ2011,ホlルド2011,勝率2011,打者2011,投球回2011,被安打2011,被本塁打2011,与四球2011,与死球2011,奪三振2011,失点2011,自責点2011,WHIP2011,DIPS2011,順位2010,選手名2010,チーム2010,防御率2010,試合2010,勝利2010,敗北2010,セlブ2010,ホlルド2010,勝率2010,打者2010,投球回2010,被安打2010,被本塁打2010,与四球2010,与死球2010,奪三振2010,失点2010,自責点2010,WHIP2010,DIPS2010,順位2009,選手名2009,チーム2009,防御率2009,試合2009,勝利2009,敗北2009,セlブ2009,ホlルド2009,勝率2009,打者2009,投球回2009,被安打2009,被本塁打2009,与四球2009,与死球2009,奪三振2009,失点2009,自責点2009,WHIP2009,DIPS2009,登録名
751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,ベイリス,西武,3.21,19.0,0.0,0.0,1.0,6.0,0.0,67.0,14.0,18.0,1.0,8.0,0.0,6.0,5.0,5.0,1.86,4.91,ベイリス
752,85.0,榎田　大樹,西武,3.30,18.0,9.0,2.0,0.0,0.0,0.818,430.0,101.0,97.0,11.0,31.0,11.0,78.0,41.0,37.0,1.27,4.24,16.0,榎田　大樹,阪神,1.42,3.0,0.0,0.0,0.0,1.0,0.0,30.0,6.1,10.0,0.0,2.0,0.0,6.0,2.0,1.0,1.89,2.17,184.0,榎田　大樹,阪神,4.31,35.0,1.0,1.0,0.0,3.0,0.5,174.0,39.2,39.0,6.0,16.0,3.0,32.0,19.0,19.0,1.39,4.91,299.0,榎田　大樹,阪神,10.38,8.0,0.0,0.0,0.0,0.0,0.0,42.0,8.2,9.0,1.0,4.0,1.0,8.0,11.0,10.0,1.50,4.50,277.0,榎田　大樹,阪神,7.05,24.0,2.0,1.0,0.0,2.0,0.667,216.0,44.2,60.0,2.0,20.0,6.0,42.0,38.0,35.0,1.79,3.57,139.0,榎田　大樹,阪神,3.61,16.0,4.0,9.0,0.0,0.0,0.308,389.0,92.1,70.0,11.0,38.0,8.0,78.0,39.0,37.0,1.17,4.47,84.0,榎田　大樹,阪神,2.34,48.0,3.0,3.0,2.0,21.0,0.5,188.0,42.1,36.0,2.0,20.0,8.0,37.0,13.0,11.0,1.32,3.76,77.0,榎田　大樹,阪神,2.27,62.0,3.0,3.0,1.0,33.0,0.5,259.0,63.1,43.0,3.0,28.0,4.0,71.0,19.0,16.0,1.12,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榎田　大樹
753,268.0,吉田　侑樹,日本ハム,7.36,1.0,0.0,1.0,0.0,0.0,0.0,20.0,3.2,6.0,0.0,2.0,0.0,2.0,6.0,3.0,2.18,3.67,234.0,吉田　侑樹,日本ハム,5.32,5.0,2.0,2.0,0.0,0.0,0.5,110.0,23.2,31.0,4.0,9.0,0.0,9.0,15.0,14.0,1.69,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉田　侑樹
754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,河野　秀数,日本ハム,4.24,23.0,1.0,0.0,0.0,1.0,1.0,81.0,17.0,18.0,2.0,13.0,2.0,14.0,8.0,8.0,1.82,5.65,47.0,河野　秀数,日本ハム,2.23,33.0,0.0,2.0,0.0,11.0,0.0,135.0,32.1,24.0,1.0,20.0,3.0,24.0,13.0,8.0,1.36,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,河野　秀数
755,10.0,公文　克彦,日本ハム,1.47,50.0,2.0,0.0,0.0,10.0,1.0,201.0,49.0,43.0,3.0,12.0,0.0,47.0,10.0,8.0,1.12,2.55,63.0,公文　克彦,日本ハム,2.70,41.0,3.0,0.0,0.0,3.0,1.0,154.0,36.2,39.0,2.0,8.0,2.0,33.0,11.0,11.0,1.28,2.68,160.0,公文　克彦,巨人,3.86,12.0,0.0,0.0,0.0,0.0,0.0,50.0,11.2,10.0,1.0,3.0,2.0,12.0,5.0,5.0,1.11,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,公文　克彦,巨人,0.00,3.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,1.67,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公文　克彦
756,,,,,,,,,,,,,,,,,,,,,,86.0,ブレイシア,広島,3.00,26.0,2.0,1.0,1.0,2.0,0.667,132.0,30.0,32.0,3.0,8.0,0.0,19.0,13.0,10.0,1.33,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ブレイシア
757,68.0,岡本　健,ソフトバンク,3.05,23.0,1.0,0.0,0.0,0.0,1.0,156.0,38.1,37.0,3.0,15.0,0.0,21.0,13.0,13.0,1.36,4.22,219.0,岡本　健,ソフトバンク,5.06,14.0,1.0,0.0,0.0,1.0,1.0,75.0,16.0,19.0,2.0,8.0,0.0,10.0,9.0,9.0,1.69,5.00,67.0,岡本　健,ソフトバンク,2.57,13.0,0.0,0.0,0.0,0.0,0.0,60.0,14.0,10.0,0.0,8.0,0.0,10.0,4.0,4.0,1.29,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡本　健
758,267.0,金田　和之,オリックス,7.30,10.0,0.0,0.0,0.0,0.0,0.0,65.0,12.1,20.0,2.0,8.0,1.0,14.0,10.0,10.0,2.27,5.15,164.0,金田　和之,オリックス,4.15,34.0,4.0,1.0,0.0,2.0,0.8,170.0,39.0,42.0,3.0,10.0,1.0,34.0,19.0,18.0,1.33,3.22,242.0,金田　和之,阪神,6.0,6.0,1.0,0.0,0.0,0.0,1.0,29.0,6.0,6.0,0.0,4.0,0.0,1.0,4.0,4.0,1.67,4.79,274.0,金田　和之,阪神,7.45,10.0,1.0,0.0,0.0,0.0,1.0,53.0,9.2,19.0,1.0,6.0,0.0,8.0,11.0,8.0,2.59,4.67,125.0,金田　和之,阪神,3.61,40.0,5.0,1.0,0.0,0.0,0.833,264.0,62.1,65.0,6.0,20.0,0.0,41.0,27.0,25.0,1.36,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金田　和之
759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,古谷　拓哉,ロッテ,8.84,5.0,0.0,4.0,0.0,0.0,0.0,92.0,18.1,25.0,1.0,11.0,0.0,6.0,19.0,18.0,1.96,4.97,207.0,古谷　拓哉,ロッテ,4.42,11.0,3.0,4.0,0.0,0.0,0.429,235.0,53.0,50.0,7.0,28.0,3.0,39.0,27.0,26.0,1.47,5.12,180.0,古谷　拓哉,ロッテ,4.35,23.0,7.0,5.0,0.0,0.0,0.583,461.0,101.1,110.0,8.0,44.0,6.0,68.0,53.0,49.0,1.52,4.23,67.0,古谷　拓哉,ロッテ,2.73,15.0,9.0,1.0,0.0,0.0,0.9,359.0,89.0,67.0,5.0,29.0,6.0,76.0,28.0,27.0,1.08,3.32,254.0,古谷　拓哉,ロッテ,5.79,10.0,0.0,0.0,0.0,0.0,0.0,48.0,9.1,15.0,2.0,6.0,0.0,2.0,6.0,6.0,2.25,7.41,242.0,古谷　拓哉,ロッテ,5.68,21.0,1.0,0.0,0.0,3.0,1.0,91.0,19.0,25.0,0.0,9.0,1.0,14.0,16.0,12.0,1.79,3.23,65.0,古谷　拓哉,ロッテ,2.91,58.0,3.0,0.0,0.0,11.0,1.0,245.0,55.2,48.0,4.0,30.0,2.0,52.0,19.0,18.0,1.40,3.91,276.0,古谷　拓哉,ロッテ,11.81,4.0,0.0,0.0,0.0,0.0,0.0,29.0,5.1,8.0,0.0,4.0,2.0,3.0,7.0,7.0,2.25,4.81,古谷　拓哉
760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,バーネット,ヤクルト,1.29,59.0,3.0,1.0,41.0,6.0,0.75,246.0,62.2,37.0,1.0,19.0,3.0,56.0,10.0,9.0,0.89,2.59,101.0,バーネット,ヤクルト,3.34,33.0,1.0,2.0,14.0,4.0,0.33299999999999996,132.0,32.1,27.0,4.0,11.0,0.0,42.0,12.0,12.0,1.18,2.97,256.0,バーネット,ヤクルト,6.02,47.0,1.0,8.0,7.0,14.0,0.111,176.0,40.1,36.0,4.0,19.0,2.0,62.0,29.0,27.0,1.36,2.75,58.0,バーネット,ヤクルト,1.82,57.0,1.0,2.0,33.0,3.0,0.33299999999999996,213.0,54.1,44.0,4.0,11.0,2.0,52.0,15.0,11.0,1.01,2.88,106.0,バーネット,ヤクルト,2.68,48.0,1.0,1.0,2.0,22.0,0.5,199.0,47.0,43.0,2.0,13.0,4.0,54.0,14.0,14.0,1.19,2.4,227.0,バーネット,ヤクルト,5.99,16.0,4.0,5.0,0.0,0.0,0.444,376.0,79.2,99.0,9.0,41.0,4.0,70.0,55.0,53.0,1.76,4.49,,,,,,,,,,,,,,,,,,,,,,バーネット
