,順位2018,選手名2018,チーム2018,防御率2018,試合2018,勝利2018,敗北2018,セlブ2018,ホlルド2018,勝率2018,打者2018,投球回2018,被安打2018,被本塁打2018,与四球2018,与死球2018,奪三振2018,失点2018,自責点2018,WHIP2018,DIPS2018,順位2017,選手名2017,チーム2017,防御率2017,試合2017,勝利2017,敗北2017,セlブ2017,ホlルド2017,勝率2017,打者2017,投球回2017,被安打2017,被本塁打2017,与四球2017,与死球2017,奪三振2017,失点2017,自責点2017,WHIP2017,DIPS2017,順位2016,選手名2016,チーム2016,防御率2016,試合2016,勝利2016,敗北2016,セlブ2016,ホlルド2016,勝率2016,打者2016,投球回2016,被安打2016,被本塁打2016,与四球2016,与死球2016,奪三振2016,失点2016,自責点2016,WHIP2016,DIPS2016,順位2015,選手名2015,チーム2015,防御率2015,試合2015,勝利2015,敗北2015,セlブ2015,ホlルド2015,勝率2015,打者2015,投球回2015,被安打2015,被本塁打2015,与四球2015,与死球2015,奪三振2015,失点2015,自責点2015,WHIP2015,DIPS2015,順位2014,選手名2014,チーム2014,防御率2014,試合2014,勝利2014,敗北2014,セlブ2014,ホlルド2014,勝率2014,打者2014,投球回2014,被安打2014,被本塁打2014,与四球2014,与死球2014,奪三振2014,失点2014,自責点2014,WHIP2014,DIPS2014,順位2013,選手名2013,チーム2013,防御率2013,試合2013,勝利2013,敗北2013,セlブ2013,ホlルド2013,勝率2013,打者2013,投球回2013,被安打2013,被本塁打2013,与四球2013,与死球2013,奪三振2013,失点2013,自責点2013,WHIP2013,DIPS2013,順位2012,選手名2012,チーム2012,防御率2012,試合2012,勝利2012,敗北2012,セlブ2012,ホlルド2012,勝率2012,打者2012,投球回2012,被安打2012,被本塁打2012,与四球2012,与死球2012,奪三振2012,失点2012,自責点2012,WHIP2012,DIPS2012,順位2011,選手名2011,チーム2011,防御率2011,試合2011,勝利2011,敗北2011,セlブ2011,ホlルド2011,勝率2011,打者2011,投球回2011,被安打2011,被本塁打2011,与四球2011,与死球2011,奪三振2011,失点2011,自責点2011,WHIP2011,DIPS2011,順位2010,選手名2010,チーム2010,防御率2010,試合2010,勝利2010,敗北2010,セlブ2010,ホlルド2010,勝率2010,打者2010,投球回2010,被安打2010,被本塁打2010,与四球2010,与死球2010,奪三振2010,失点2010,自責点2010,WHIP2010,DIPS2010,順位2009,選手名2009,チーム2009,防御率2009,試合2009,勝利2009,敗北2009,セlブ2009,ホlルド2009,勝率2009,打者2009,投球回2009,被安打2009,被本塁打2009,与四球2009,与死球2009,奪三振2009,失点2009,自責点2009,WHIP2009,DIPS2009,登録名
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,伊原　正樹,オリックス,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,2.2,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.88,4.62,240.0,伊原　正樹,オリックス,6.65,6.0,0.0,3.0,0.0,0.0,0.0,110.0,23.0,31.0,2.0,14.0,1.0,11.0,20.0,17.0,1.96,5.25,253.0,伊原　正樹,オリックス,7.64,4.0,0.0,3.0,0.0,0.0,0.0,80.0,17.2,15.0,6.0,10.0,3.0,11.0,15.0,15.0,1.42,8.50,伊原　正樹
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,ドイル,ソフトバンク,3.55,3.0,1.0,1.0,0.0,0.0,0.5,60.0,12.2,14.0,1.0,9.0,1.0,7.0,7.0,5.0,1.82,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ドイル
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,藤田　宗一,ソフトバンク,9.64,19.0,0.0,1.0,0.0,5.0,0.0,45.0,9.1,10.0,1.0,5.0,3.0,8.0,10.0,10.0,1.61,5.37,,,,,,,,,,,,,,,,,,,,,,36.0,藤田　宗一,巨人,2.08,19.0,1.0,0.0,0.0,2.0,1.0,72.0,17.1,20.0,1.0,1.0,0.0,10.0,5.0,4.0,1.21,2.89,藤田　宗一
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,木村　雄太,ロッテ,4.05,4.0,0.0,0.0,0.0,0.0,0.0,31.0,6.2,7.0,1.0,3.0,1.0,7.0,3.0,3.0,1.50,4.77,146.0,木村　雄太,ロッテ,3.38,13.0,0.0,1.0,0.0,1.0,0.0,61.0,16.0,12.0,0.0,3.0,0.0,10.0,6.0,6.0,0.94,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木村　雄太
4,21.0,青山　浩二,楽天,2.18,43.0,3.0,1.0,0.0,19.0,0.75,168.0,41.1,30.0,2.0,16.0,4.0,32.0,11.0,10.0,1.11,3.58,39.0,青山　浩二,楽天,2.30,17.0,1.0,1.0,0.0,3.0,0.5,68.0,15.2,12.0,1.0,6.0,3.0,16.0,4.0,4.0,1.15,3.63,213.0,青山　浩二,楽天,4.83,50.0,1.0,5.0,0.0,14.0,0.16699999999999998,227.0,50.1,53.0,5.0,24.0,0.0,46.0,29.0,27.0,1.53,4.01,80.0,青山　浩二,楽天,2.81,61.0,4.0,5.0,0.0,31.0,0.444,223.0,57.2,37.0,3.0,18.0,1.0,58.0,18.0,18.0,0.95,2.72,184.0,青山　浩二,楽天,4.44,22.0,1.0,4.0,0.0,1.0,0.2,230.0,52.2,52.0,6.0,20.0,2.0,49.0,30.0,26.0,1.37,3.99,128.0,青山　浩二,楽天,3.43,60.0,3.0,5.0,11.0,17.0,0.375,263.0,60.1,61.0,6.0,20.0,1.0,60.0,24.0,23.0,1.34,3.37,100.0,青山　浩二,楽天,2.51,61.0,5.0,4.0,22.0,2.0,0.556,260.0,64.2,48.0,2.0,19.0,4.0,54.0,18.0,18.0,1.04,2.92,114.0,青山　浩二,楽天,2.79,51.0,3.0,4.0,2.0,23.0,0.429,290.0,71.0,58.0,4.0,23.0,3.0,64.0,23.0,22.0,1.14,3.06,23.0,青山　浩二,楽天,1.72,41.0,5.0,1.0,1.0,15.0,0.833,217.0,52.1,48.0,2.0,14.0,0.0,63.0,13.0,10.0,1.18,2.01,210.0,青山　浩二,楽天,5.49,28.0,3.0,5.0,5.0,2.0,0.375,281.0,62.1,70.0,10.0,25.0,4.0,53.0,43.0,38.0,1.52,4.85,青山　浩二
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,高井　雄平,ヤクルト,0.00,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00,3.12,高井　雄平
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,岩尾　利弘,西武,9.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0,0.0,2.0,0.0,1.0,3.0,3.0,2.33,4.45,257.0,岩尾　利弘,西武,6.52,21.0,1.0,0.0,0.0,3.0,1.0,140.0,29.0,34.0,0.0,18.0,3.0,29.0,22.0,21.0,1.79,3.29,24.0,岩尾　利弘,西武,1.80,13.0,1.0,0.0,0.0,1.0,1.0,79.0,20.0,15.0,0.0,4.0,2.0,21.0,6.0,4.0,0.95,1.92,303.0,岩尾　利弘,西武,9.49,10.0,1.0,0.0,0.0,1.0,1.0,64.0,12.1,16.0,2.0,10.0,0.0,3.0,13.0,13.0,2.11,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,岩尾　利弘,西武,18.00,2.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,6.0,0.0,2.0,0.0,0.0,4.0,4.0,4.00,6.12,,,,,,,,,,,,,,,,,,,,,,岩尾　利弘
7,,,,,,,,,,,,,,,,,,,,,,74.0,シュリッター,西武,2.83,64.0,1.0,5.0,0.0,32.0,0.16699999999999998,269.0,63.2,58.0,1.0,29.0,0.0,23.0,22.0,20.0,1.37,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,シュリッター
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,ピント,ソフトバンク,7.36,2.0,1.0,1.0,0.0,0.0,0.5,39.0,7.1,9.0,1.0,7.0,1.0,6.0,8.0,6.0,2.18,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ピント
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,加藤　正志,楽天,18.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,16.12,221.0,加藤　正志,楽天,4.73,9.0,0.0,0.0,0.0,0.0,0.0,55.0,13.1,17.0,2.0,2.0,0.0,3.0,7.0,7.0,1.43,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加藤　正志
10,210.0,スアレス,ソフトバンク,5.14,7.0,1.0,1.0,0.0,3.0,0.5,33.0,7.0,8.0,0.0,4.0,0.0,7.0,4.0,4.0,1.71,2.83,,,,,,,,,,,,,,,,,,,,,,116.0,スアレス,ソフトバンク,3.19,58.0,2.0,6.0,1.0,26.0,0.25,223.0,53.2,49.0,5.0,18.0,1.0,64.0,21.0,19.0,1.25,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スアレス
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,木佐貫　洋,日本ハム,0.00,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00,-0.88,82.0,木佐貫　洋,日本ハム,3.12,5.0,1.0,3.0,0.0,0.0,0.25,115.0,26.0,29.0,1.0,7.0,0.0,21.0,12.0,9.0,1.38,2.81,142.0,木佐貫　洋,日本ハム,3.66,24.0,9.0,8.0,0.0,0.0,0.529,620.0,145.0,141.0,10.0,50.0,5.0,95.0,64.0,59.0,1.32,3.82,106.0,木佐貫　洋,オリックス,2.60,24.0,5.0,9.0,0.0,0.0,0.35700000000000004,628.0,152.1,138.0,8.0,42.0,3.0,96.0,47.0,44.0,1.18,3.41,220.0,木佐貫　洋,オリックス,4.6,19.0,2.0,7.0,0.0,0.0,0.222,322.0,72.1,86.0,5.0,22.0,2.0,60.0,42.0,37.0,1.49,3.31,133.0,木佐貫　洋,オリックス,3.98,28.0,10.0,12.0,0.0,0.0,0.455,767.0,174.1,174.0,9.0,71.0,13.0,140.0,85.0,77.0,1.41,3.63,269.0,木佐貫　洋,巨人,10.13,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.2,4.0,2.0,0.0,0.0,2.0,3.0,3.0,1.50,11.37,木佐貫　洋
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,松山　傑,横浜,9.00,5.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,4.0,0.0,4.0,1.0,1.0,4.0,4.0,2.00,6.37,,,,,,,,,,,,,,,,,,,,,,松山　傑
13,141.0,伊藤　準規,中日,3.95,11.0,2.0,0.0,0.0,1.0,1.0,65.0,13.2,13.0,2.0,11.0,2.0,6.0,6.0,6.0,1.76,7.00,147.0,伊藤　準規,中日,3.88,39.0,0.0,2.0,0.0,9.0,0.0,276.0,62.2,59.0,5.0,33.0,4.0,57.0,28.0,27.0,1.47,4.11,248.0,伊藤　準規,中日,6.05,6.0,1.0,2.0,0.0,0.0,0.33299999999999996,89.0,19.1,22.0,2.0,9.0,0.0,12.0,14.0,13.0,1.6,4.62,245.0,伊藤　準規,中日,5.68,2.0,0.0,0.0,0.0,0.0,0.0,33.0,6.1,9.0,0.0,3.0,1.0,3.0,6.0,4.0,1.89,4.07,153.0,伊藤　準規,中日,3.96,9.0,0.0,2.0,0.0,0.0,0.0,186.0,38.2,48.0,3.0,23.0,4.0,24.0,23.0,17.0,1.84,4.90,,,,,,,,,,,,,,,,,,,,,,22.0,伊藤　準規,中日,0.93,2.0,1.0,0.0,0.0,0.0,1.0,35.0,9.2,3.0,0.0,5.0,0.0,3.0,1.0,1.0,0.83,4.05,164.0,伊藤　準規,中日,3.59,9.0,2.0,4.0,0.0,0.0,0.33299999999999996,196.0,42.2,46.0,0.0,19.0,8.0,27.0,23.0,17.0,1.52,3.75,123.0,伊藤　準規,中日,3.86,3.0,1.0,1.0,0.0,0.0,0.5,57.0,14.0,11.0,1.0,7.0,0.0,12.0,6.0,6.0,1.29,3.83,1.0,伊藤　準規,中日,0.00,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00,4.12,伊藤　準規
14,,,,,,,,,,,,,,,,,,,,,,270.0,ヘーゲンズ,広島,6.60,11.0,0.0,0.0,0.0,0.0,0.0,73.0,15.0,24.0,1.0,7.0,0.0,10.0,12.0,11.0,2.07,4.05,94.0,ヘーゲンズ,広島,2.92,50.0,7.0,5.0,0.0,19.0,0.583,342.0,83.1,71.0,4.0,33.0,3.0,33.0,32.0,27.0,1.25,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ヘーゲンズ
15,204.0,青柳　晃洋,阪神,5.06,1.0,1.0,0.0,0.0,0.0,1.0,23.0,5.1,6.0,1.0,1.0,0.0,5.0,3.0,3.0,1.31,4.25,98.0,青柳　晃洋,阪神,3.22,12.0,4.0,4.0,0.0,0.0,0.5,282.0,64.1,53.0,2.0,28.0,10.0,50.0,32.0,23.0,1.26,3.74,121.0,青柳　晃洋,阪神,3.29,13.0,4.0,5.0,0.0,0.0,0.444,289.0,68.1,41.0,1.0,40.0,8.0,52.0,31.0,25.0,1.19,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青柳　晃洋
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,井上　雄介,楽天,4.91,2.0,0.0,0.0,0.0,0.0,0.0,17.0,3.2,6.0,0.0,0.0,0.0,3.0,2.0,2.0,1.64,1.48,,,,,,,,,,,,,,,,,,,,,,293.0,井上　雄介,楽天,11.57,7.0,1.0,1.0,0.0,0.0,0.5,38.0,7.0,14.0,4.0,3.0,0.0,1.0,9.0,9.0,2.43,11.55,,,,,,,,,,,,,,,,,,,,,,井上　雄介
17,49.0,大下　佑馬,ヤクルト,2.73,16.0,1.0,1.0,0.0,3.0,0.5,105.0,26.1,17.0,4.0,7.0,1.0,28.0,9.0,8.0,0.91,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大下　佑馬
18,254.0,館山　昌平,ヤクルト,6.75,4.0,0.0,3.0,0.0,0.0,0.0,79.0,16.0,25.0,2.0,7.0,1.0,11.0,16.0,12.0,2.00,4.87,304.0,館山　昌平,ヤクルト,12.00,2.0,0.0,1.0,0.0,0.0,0.0,31.0,6.0,10.0,3.0,3.0,1.0,3.0,8.0,8.0,2.17,10.62,266.0,館山　昌平,ヤクルト,7.24,10.0,1.0,4.0,0.0,1.0,0.2,230.0,46.0,65.0,5.0,26.0,5.0,33.0,39.0,37.0,1.98,5.12,85.0,館山　昌平,ヤクルト,2.89,11.0,6.0,3.0,0.0,0.0,0.667,260.0,62.1,44.0,4.0,36.0,4.0,36.0,22.0,20.0,1.28,4.68,,,,,,,,,,,,,,,,,,,,,,107.0,館山　昌平,ヤクルト,3.24,2.0,0.0,0.0,0.0,0.0,0.0,37.0,8.1,9.0,0.0,3.0,1.0,6.0,4.0,3.0,1.44,3.12,79.0,館山　昌平,ヤクルト,2.25,25.0,12.0,8.0,0.0,1.0,0.6,676.0,168.1,141.0,7.0,45.0,6.0,119.0,45.0,42.0,1.10,3.10,66.0,館山　昌平,ヤクルト,2.04,26.0,11.0,5.0,0.0,1.0,0.688,699.0,180.2,146.0,12.0,29.0,6.0,130.0,43.0,41.0,0.97,3.11,66.0,館山　昌平,ヤクルト,2.93,21.0,12.0,7.0,0.0,0.0,0.632,607.0,147.2,147.0,17.0,24.0,4.0,112.0,55.0,48.0,1.16,3.63,92.0,館山　昌平,ヤクルト,3.39,27.0,16.0,6.0,0.0,0.0,0.727,798.0,188.1,195.0,20.0,45.0,11.0,126.0,77.0,71.0,1.27,4.02,館山　昌平
19,90.0,近藤　一樹,ヤクルト,3.41,61.0,5.0,3.0,1.0,31.0,0.625,276.0,63.1,60.0,7.0,27.0,1.0,66.0,30.0,24.0,1.37,3.70,202.0,近藤　一樹,ヤクルト,4.72,54.0,2.0,4.0,1.0,14.0,0.33299999999999996,234.0,55.1,49.0,9.0,17.0,4.0,55.0,29.0,29.0,1.19,4.39,,,,,,,,,,,,,,,,,,,,,,252.0,近藤　一樹,オリックス,6.05,10.0,1.0,4.0,0.0,0.0,0.2,190.0,41.2,49.0,1.0,14.0,3.0,24.0,31.0,28.0,1.51,3.50,206.0,近藤　一樹,オリックス,4.70,2.0,0.0,1.0,0.0,0.0,0.0,34.0,7.2,10.0,1.0,2.0,0.0,7.0,4.0,4.0,1.57,3.77,294.0,近藤　一樹,オリックス,9.00,5.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,13.0,2.0,1.0,0.0,6.0,8.0,8.0,1.75,5.25,217.0,近藤　一樹,オリックス,4.50,1.0,0.0,1.0,0.0,0.0,0.0,27.0,6.0,8.0,0.0,1.0,0.0,3.0,4.0,3.0,1.50,2.62,252.0,近藤　一樹,オリックス,6.36,15.0,3.0,7.0,0.0,1.0,0.3,289.0,63.2,76.0,6.0,27.0,4.0,53.0,48.0,45.0,1.62,4.14,150.0,近藤　一樹,オリックス,4.35,24.0,5.0,10.0,0.0,0.0,0.33299999999999996,620.0,142.2,151.0,16.0,49.0,7.0,133.0,79.0,69.0,1.40,3.87,179.0,近藤　一樹,オリックス,4.78,24.0,9.0,12.0,0.0,0.0,0.429,678.0,152.2,155.0,20.0,80.0,3.0,91.0,87.0,81.0,1.54,5.24,近藤　一樹
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,王　溢正,DeNA,8.88,6.0,0.0,4.0,0.0,0.0,0.0,124.0,24.1,32.0,4.0,19.0,3.0,15.0,25.0,24.0,2.10,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,王　溢正
21,,,,,,,,,,,,,,,,,,,,,,133.0,武田　久,日本ハム,3.68,7.0,0.0,0.0,0.0,0.0,0.0,36.0,7.1,11.0,1.0,3.0,0.0,3.0,4.0,3.0,1.91,5.30,322.0,武田　久,日本ハム,14.54,5.0,0.0,0.0,0.0,0.0,0.0,27.0,4.1,11.0,0.0,1.0,2.0,0.0,7.0,7.0,2.77,5.2,,,,,,,,,,,,,,,,,,,,,,288.0,武田　久,日本ハム,8.22,9.0,0.0,1.0,1.0,0.0,0.0,48.0,7.2,16.0,0.0,5.0,0.0,7.0,10.0,7.0,2.74,3.25,49.0,武田　久,日本ハム,2.28,47.0,2.0,2.0,31.0,1.0,0.5,227.0,47.1,64.0,3.0,16.0,3.0,28.0,13.0,12.0,1.69,3.77,82.0,武田　久,日本ハム,2.32,56.0,4.0,4.0,32.0,3.0,0.5,230.0,54.1,56.0,2.0,19.0,0.0,34.0,14.0,14.0,1.38,3.23,16.0,武田　久,日本ハム,1.03,53.0,2.0,2.0,37.0,1.0,0.5,191.0,52.1,32.0,0.0,9.0,1.0,28.0,6.0,6.0,0.78,2.39,121.0,武田　久,日本ハム,3.83,58.0,1.0,5.0,19.0,4.0,0.16699999999999998,241.0,56.1,63.0,5.0,16.0,5.0,37.0,28.0,24.0,1.40,3.92,14.0,武田　久,日本ハム,1.20,55.0,3.0,0.0,34.0,4.0,1.0,243.0,60.0,54.0,1.0,14.0,0.0,38.0,10.0,8.0,1.13,2.77,武田　久
22,86.0,吉田　一将,オリックス,3.33,49.0,3.0,4.0,0.0,20.0,0.429,201.0,48.2,41.0,2.0,15.0,3.0,46.0,18.0,18.0,1.15,2.63,67.0,吉田　一将,オリックス,2.72,29.0,2.0,1.0,0.0,6.0,0.667,166.0,43.0,25.0,6.0,14.0,0.0,31.0,13.0,13.0,0.91,4.40,76.0,吉田　一将,オリックス,2.66,54.0,5.0,2.0,1.0,21.0,0.7140000000000001,204.0,50.2,37.0,4.0,16.0,3.0,36.0,17.0,15.0,1.05,3.85,236.0,吉田　一将,オリックス,5.27,14.0,1.0,5.0,0.0,1.0,0.16699999999999998,191.0,42.2,51.0,7.0,19.0,1.0,25.0,28.0,25.0,1.64,5.35,141.0,吉田　一将,オリックス,3.81,15.0,5.0,6.0,0.0,0.0,0.455,318.0,75.2,70.0,9.0,24.0,2.0,62.0,34.0,32.0,1.24,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉田　一将
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,横山　龍之介,阪神,18.00,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,4.00,17.12,,,,,,,,,,,,,,,,,,,,,,横山　龍之介
24,174.0,加藤　貴之,日本ハム,4.48,21.0,4.0,6.0,0.0,2.0,0.4,382.0,88.1,103.0,4.0,22.0,2.0,62.0,47.0,44.0,1.42,3.12,122.0,加藤　貴之,日本ハム,3.53,21.0,6.0,6.0,0.0,0.0,0.5,521.0,120.0,125.0,13.0,38.0,1.0,99.0,51.0,47.0,1.36,3.85,130.0,加藤　貴之,日本ハム,3.45,30.0,7.0,3.0,0.0,1.0,0.7,392.0,91.1,91.0,4.0,31.0,2.0,64.0,37.0,35.0,1.34,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加藤　貴之
25,271.0,オルモス,ロッテ,7.71,2.0,0.0,2.0,0.0,0.0,0.0,33.0,7.0,9.0,0.0,6.0,0.0,5.0,9.0,6.0,2.14,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オルモス
26,176.0,成田　翔,ロッテ,4.50,5.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,3.0,0.0,2.0,0.0,1.0,2.0,2.0,1.25,4.12,187.0,成田　翔,ロッテ,4.38,4.0,0.0,2.0,0.0,1.0,0.0,52.0,12.1,12.0,2.0,4.0,1.0,8.0,8.0,6.0,1.30,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,成田　翔
