ID,順位2015,選手名2015,チーム2015,防御率2015,試合2015,勝利2015,敗北2015,セlブ2015,ホlルド2015,勝率2015,打者2015,投球回2015,被安打2015,被本塁打2015,与四球2015,与死球2015,奪三振2015,失点2015,自責点2015,WHIP2015,DIPS2015
54,1,安樂　智大,楽天,0.00,1,1,0,0,0,1.0,24,6.0,2,0,5,0,4,0,0,1.17,4.29
162,1,中田　廉,広島,0.00,5,1,0,0,0,1.0,20,5.0,4,0,3,0,4,0,0,1.40,2.72
341,1,豊田　拓矢,西武,0.00,3,0,0,0,0,0.0,15,3.2,1,0,4,0,2,0,0,1.36,4.48
611,1,金平　将至,日本ハム,0.00,4,0,0,0,0,0.0,12,3.1,2,0,1,0,1,0,0,0.90,3.42
693,1,大石　達也,西武,0.00,3,0,0,0,0,0.0,13,3.1,3,0,1,0,3,0,0,1.20,2.22
641,1,相原　和友,楽天,0.00,2,0,0,0,0,0.0,14,3.0,3,0,1,0,1,1,0,1.33,3.45
570,1,寺田　哲也,ヤクルト,0.00,1,0,0,0,0,0.0,16,3.0,2,0,4,1,3,0,0,2.00,6.12
133,1,西原　圭大,広島,0.00,3,0,0,0,0,0.0,11,2.1,3,0,0,1,3,0,0,1.29,1.83
601,1,島袋　洋奨,ソフトバンク,0.00,2,0,0,0,0,0.0,9,2.0,1,0,2,0,2,0,0,1.50,4.12
853,1,森内　壽春,日本ハム,0.00,2,0,0,0,0,0.0,8,2.0,2,0,0,0,2,0,0,1.00,1.12
277,1,渡辺　亮,阪神,0.00,1,0,0,0,0,0.0,7,1.1,1,0,2,0,1,0,0,2.25,6.12
376,1,木佐貫　洋,日本ハム,0.00,1,0,0,0,0,0.0,3,1.0,0,0,0,0,2,0,0,0.00,-0.88
165,1,永井　怜,楽天,0.00,1,0,0,0,1,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88
269,1,風張　蓮,ヤクルト,0.00,1,0,0,0,0,0.0,2,0.1,0,0,0,1,0,0,0,0.00,12.12
436,15,小山　伸一郎,楽天,-,1,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,0,-,-
781,16,千賀　滉大,ソフトバンク,0.40,4,2,1,0,0,0.667,85,22.1,9,0,10,0,21,2,1,0.85,2.58
811,17,三上　朋也,DeNA,0.81,21,1,1,0,9,0.5,93,22.1,16,0,9,1,20,3,2,1.12,2.67
80,18,松井　裕樹,楽天,0.87,63,3,2,33,12,0.6,284,72.1,37,3,28,2,103,7,7,0.90,2.06
321,19,吉見　一起,中日,0.94,8,3,0,0,0,1.0,186,48.0,34,0,12,1,39,5,5,0.96,2.31
714,20,田原　誠次,巨人,1.00,18,1,0,0,4,1.0,75,18.0,11,1,9,2,18,2,2,1.11,3.68
722,21,サファテ,ソフトバンク,1.11,65,5,1,41,9,0.833,235,64.2,27,4,14,1,102,8,8,0.63,1.47
672,22,鶴　直人,阪神,1.17,5,0,0,0,0,0.0,31,7.2,8,0,2,0,5,1,1,1.30,2.60
467,23,内　竜也,ロッテ,1.27,22,1,1,6,7,0.5,88,21.1,18,0,8,2,21,5,3,1.22,2.56
676,24,バーネット,ヤクルト,1.29,59,3,1,41,6,0.75,246,62.2,37,1,19,3,56,10,9,0.89,2.59
330,25,澤村　拓一,巨人,1.32,60,7,3,36,3,0.7,282,68.1,58,4,21,3,60,12,10,1.16,3.18
442,26,田中　靖洋,西武,1.35,18,1,1,1,0,0.5,105,26.2,23,1,7,0,13,4,4,1.13,3.42
426,27,五十嵐　亮太,ソフトバンク,1.38,54,3,1,2,31,0.75,203,52.0,31,1,15,4,59,8,8,0.88,2.14
757,28,増井　浩俊,日本ハム,1.50,56,0,1,39,4,0.0,238,60.0,44,1,19,0,71,11,10,1.05,1.92
4,28,萬谷　康平,DeNA,1.50,4,1,0,0,0,1.0,26,6.0,6,0,2,0,4,2,1,1.33,2.79
121,30,岡田　俊哉,中日,1.57,50,0,1,0,12,0.0,225,57.1,38,1,15,2,55,10,10,0.92,2.32
794,31,ガラテ,日本ハム,1.71,13,3,1,0,0,0.75,116,26.1,20,0,17,4,19,9,5,1.41,3.96
638,32,二木　康太,ロッテ,1.80,1,0,0,0,0,0.0,20,5.0,4,0,2,0,3,1,1,1.20,3.12
