,登録名,チーム2018,勝利2018,勝利2017,勝利2016,勝利2015,勝利2014,勝利2013,勝利2012,勝利2011,勝利2010,勝利2009
428,東浜　巨,ソフトバンク,3.0,16.0,9.0,1.0,2.0,3.0,,,,
40,山井　大介,中日,3.0,2.0,1.0,4.0,13.0,5.0,4.0,3.0,7.0,0.0
318,今井　達也,西武,3.0,,,,,,,,,
7,澤田　圭佑,オリックス,3.0,0.0,,,,,,,,
873,パットン,DeNA,3.0,4.0,,,,,,,,
28,一岡　竜司,広島,3.0,6.0,1.0,2.0,2.0,0.0,0.0,,,
684,武田　翔太,ソフトバンク,3.0,6.0,14.0,13.0,3.0,4.0,8.0,,,
22,石山　泰稚,ヤクルト,3.0,3.0,1.0,5.0,3.0,3.0,,,,
769,小熊　凌祐,中日,3.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,,
410,今村　猛,広島,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,
726,青山　浩二,楽天,3.0,1.0,1.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0
544,ヒース,西武,3.0,,,3.0,3.0,,,,,
212,笠原　祥太郎,中日,3.0,1.0,,,,,,,,
310,内　竜也,ロッテ,3.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0
713,平井　克典,西武,3.0,2.0,,,,,,,,
695,ヤングマン,巨人,3.0,,,,,,,,,
694,今永　昇太,DeNA,3.0,11.0,8.0,,,,,,,
537,ジャクソン,広島,3.0,2.0,5.0,,,,,,,
82,石田　健大,DeNA,3.0,6.0,9.0,2.0,,,,,,
174,能見　篤史,阪神,3.0,6.0,8.0,11.0,9.0,11.0,10.0,12.0,8.0,13.0
398,西村　天裕,日本ハム,2.0,,,,,,,,,
479,藤嶋　健人,中日,2.0,,,,,,,,,
312,ハフ,ヤクルト,2.0,,,,,,,,,
461,藤浪　晋太郎,阪神,2.0,3.0,7.0,14.0,11.0,10.0,,,,
531,濵口　遥大,DeNA,2.0,10.0,,,,,,,,
443,バリオス,DeNA,2.0,,0.0,0.0,0.0,,,,,
371,ミランダ,ソフトバンク,2.0,,,,,,,,,
557,浦野　博司,日本ハム,2.0,3.0,,3.0,7.0,,,,,
583,又吉　克樹,中日,2.0,8.0,6.0,6.0,9.0,,,,,
582,南　昌輝,ロッテ,2.0,0.0,5.0,,0.0,3.0,1.0,,,
511,松永　昂大,ロッテ,2.0,1.0,3.0,0.0,4.0,4.0,,,,
575,堀　瑞輝,日本ハム,2.0,0.0,,,,,,,,
379,髙橋　遥人,阪神,2.0,,,,,,,,,
204,田中　靖洋,ロッテ,2.0,1.0,0.0,1.0,0.0,,0.0,,0.0,
609,谷岡　竜平,巨人,2.0,0.0,,,,,,,,
765,伊藤　翔,西武,2.0,,,,,,,,,
898,柳　裕也,中日,2.0,1.0,,,,,,,,
894,エスコバー,DeNA,2.0,,,,,,,,,
881,谷元　圭介,中日,2.0,,3.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0
854,伊藤　準規,中日,2.0,0.0,1.0,0.0,0.0,,1.0,2.0,1.0,0.0
838,酒居　知史,ロッテ,2.0,5.0,,,,,,,,
827,ワグナー,西武,2.0,,,,,,,,,
825,攝津　正,ソフトバンク,2.0,0.0,2.0,10.0,10.0,15.0,17.0,14.0,4.0,5.0
812,田原　誠次,巨人,2.0,1.0,4.0,1.0,0.0,0.0,2.0,,,
130,薮田　和樹,広島,2.0,15.0,3.0,1.0,,,,,,
135,嘉弥真　新也,ソフトバンク,2.0,2.0,0.0,0.0,0.0,3.0,0.0,,,
141,風張　蓮,ヤクルト,2.0,0.0,0.0,0.0,,,,,,
153,田口　麗斗,巨人,2.0,13.0,10.0,3.0,,,,,,
766,塩見　貴洋,楽天,2.0,3.0,8.0,3.0,8.0,,6.0,9.0,,
138,公文　克彦,日本ハム,2.0,3.0,0.0,,,0.0,,,,
470,平良　拳太郎,DeNA,2.0,1.0,0.0,,,,,,,
289,益田　直也,ロッテ,2.0,0.0,3.0,3.0,7.0,2.0,2.0,,,
683,森　唯斗,ソフトバンク,2.0,2.0,4.0,5.0,4.0,,,,,
723,ハーマン,楽天,2.0,3.0,,,,,,,,
666,山﨑　康晃,DeNA,2.0,4.0,2.0,,,,,,,
655,美馬　学,楽天,2.0,11.0,9.0,3.0,2.0,6.0,8.0,2.0,,
247,フランスア,広島,2.0,,,,,,,,,
862,梅野　雄吾,ヤクルト,1.0,0.0,,,,,,,,
504,髙橋　光成,西武,1.0,3.0,4.0,,,,,,,
837,松葉　貴大,オリックス,1.0,3.0,7.0,3.0,8.0,4.0,,,,
858,飯塚　悟史,DeNA,1.0,1.0,,,,,,,,
626,松本　裕樹,ソフトバンク,1.0,2.0,0.0,,,,,,,
867,田中　健二朗,DeNA,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,
890,鍬原　拓也,巨人,1.0,,,,,,,,,
893,星　知弥,ヤクルト,1.0,4.0,,,,,,,,
597,小石　博孝,西武,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
896,高梨　雄平,楽天,1.0,1.0,,,,,,,,
897,マーティン,西武,1.0,0.0,2.0,,,,,,,
835,岩嵜　翔,ソフトバンク,1.0,6.0,4.0,1.0,4.0,1.0,5.0,6.0,0.0,0.0
727,福山　博之,楽天,1.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,,
751,由規,ヤクルト,1.0,3.0,2.0,,,,,7.0,12.0,5.0
823,サファテ,ソフトバンク,1.0,2.0,0.0,5.0,7.0,9.0,2.0,1.0,,
521,高野　圭佑,ロッテ,1.0,0.0,1.0,,,,,,,
810,唐川　侑己,ロッテ,1.0,5.0,6.0,5.0,4.0,9.0,8.0,12.0,6.0,5.0
793,藤井　皓哉,広島,1.0,0.0,,,,,,,,
576,武隈　祥太,西武,1.0,5.0,5.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0
693,ローチ,オリックス,1.0,,,,,,,,,
619,岡本　健,ソフトバンク,1.0,1.0,0.0,,,,,,,
702,井口　和朋,日本ハム,1.0,0.0,0.0,,,,,,,
535,岡本　洋介,阪神,1.0,6.0,0.0,1.0,2.0,4.0,0.0,,0.0,
780,久保　裕也,楽天,1.0,3.0,0.0,,4.0,,0.0,4.0,8.0,1.0
778,岩本　輝,オリックス,1.0,,,2.0,0.0,0.0,2.0,,,
536,澤村　拓一,巨人,1.0,,6.0,7.0,5.0,5.0,10.0,11.0,,
552,永川　勝浩,広島,1.0,,2.0,1.0,3.0,3.0,,1.0,1.0,3.0
724,山中　浩史,ヤクルト,1.0,2.0,6.0,6.0,,0.0,,,,
679,大竹　寛,巨人,1.0,4.0,6.0,3.0,9.0,10.0,11.0,1.0,1.0,10.0
905,岩崎　優,阪神,1.0,4.0,3.0,3.0,5.0,,,,,
185,岩瀬　仁紀,中日,1.0,3.0,0.0,,1.0,2.0,1.0,0.0,1.0,2.0
79,野田　昇吾,西武,1.0,1.0,0.0,,,,,,,
236,カミネロ,巨人,1.0,3.0,,,,,,,,
372,中川　皓太,巨人,1.0,0.0,0.0,,,,,,,
364,増井　浩俊,オリックス,1.0,6.0,10.0,0.0,5.0,4.0,5.0,0.0,3.0,
70,土肥　星也,ロッテ,1.0,0.0,,,,,,,,
356,高橋　昂也,広島,1.0,,,,,,,,,
78,石川　直也,日本ハム,1.0,0.0,0.0,,,,,,,
255,池田　隆英,楽天,1.0,,,,,,,,,
268,松岡　健一,ヤクルト,1.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0,3.0,6.0
154,谷川　昌希,阪神,1.0,,,,,,,,,
186,青柳　晃洋,阪神,1.0,4.0,4.0,,,,,,,
333,黒木　優太,オリックス,1.0,6.0,,,,,,,,
323,山田　修義,オリックス,1.0,0.0,2.0,0.0,,0.0,0.0,,0.0,
291,佐藤　優,中日,1.0,2.0,1.0,,,,,,,
301,古野　正人,ヤクルト,1.0,,0.0,4.0,3.0,1.0,,,,
297,祖父江　大輔,中日,1.0,2.0,0.0,0.0,0.0,,,,,
296,高木　勇人,西武,1.0,1.0,5.0,9.0,,,,,,
41,玉井　大翔,日本ハム,1.0,1.0,,,,,,,,
54,上原　健太,日本ハム,1.0,1.0,0.0,,,,,,,
25,大石　達也,西武,1.0,2.0,1.0,0.0,,0.0,1.0,,,
430,秋吉　亮,ヤクルト,1.0,5.0,3.0,6.0,3.0,,,,,
458,大下　佑馬,ヤクルト,1.0,,,,,,,,,
191,ドリス,阪神,1.0,4.0,3.0,,,,,,,
11,大竹　耕太郎,ソフトバンク,1.0,,,,,,,,,
180,藤岡　好明,DeNA,1.0,1.0,,0.0,1.0,4.0,1.0,1.0,1.0,5.0
448,三上　朋也,DeNA,1.0,3.0,2.0,1.0,1.0,,,,,
18,池田　駿,巨人,1.0,0.0,,,,,,,,
403,杉浦　稔大,日本ハム,1.0,0.0,3.0,1.0,2.0,,,,,
