ID,順位2013,選手名2013,チーム2013,防御率2013,試合2013,勝利2013,敗北2013,セlブ2013,ホlルド2013,勝率2013,打者2013,投球回2013,被安打2013,被本塁打2013,与四球2013,与死球2013,奪三振2013,失点2013,自責点2013,WHIP2013,DIPS2013
720,1,榊原　諒,日本ハム,0.00,2,0,0,0,0,0.0,17,4.0,4,0,2,0,2,3,0,1.50,3.62
134,1,岩見　優輝,広島,0.00,3,0,0,0,0,0.0,12,3.1,0,0,4,0,4,0,0,1.20,4.32
797,1,馬原　孝浩,オリックス,0.00,3,0,0,0,1,0.0,10,3.0,0,0,1,0,4,0,0,0.33,1.45
558,1,公文　克彦,巨人,0.00,3,0,0,0,0,0.0,13,3.0,4,0,1,0,4,0,0,1.67,1.45
771,1,高木　康成,巨人,0.00,1,0,0,0,1,0.0,7,2.0,2,0,0,0,1,0,0,1.00,2.12
225,1,シュルツ,オリックス,0.00,1,0,0,0,0,0.0,3,1.0,0,0,0,0,1,0,0,0.00,1.12
316,7,吉野　誠,オリックス,-,1,0,0,0,0,0.0,2,0.0,1,0,1,0,0,0,0,-,-
610,8,ソコロビッチ,広島,0.79,11,0,2,0,2,0.0,42,11.1,6,0,4,0,6,3,1,0.88,3.12
879,9,マシソン,巨人,1.03,63,2,2,0,40,0.5,235,61.0,36,2,18,2,77,8,7,0.89,2.01
467,10,内　竜也,ロッテ,1.05,26,1,0,2,13,1.0,102,25.2,18,0,10,0,26,3,3,1.09,2.26
420,11,西村　健太朗,巨人,1.13,71,4,3,42,10,0.5710000000000001,289,71.2,47,1,31,4,71,10,9,1.09,2.70
255,12,福原　忍,阪神,1.20,50,4,0,14,14,1.0,184,45.0,40,2,11,2,38,9,6,1.13,2.81
886,13,山口　鉄也,巨人,1.22,64,4,3,6,38,0.5710000000000001,262,66.2,47,1,17,2,55,12,9,0.96,2.43
871,14,佐藤　祥万,DeNA,1.23,8,0,0,0,0,0.0,32,7.1,8,0,5,0,3,1,1,1.77,4.35
