ID,順位2018,選手名2018,チーム2018,防御率2018,試合2018,勝利2018,敗北2018,セlブ2018,ホlルド2018,勝率2018,打者2018,投球回2018,被安打2018,被本塁打2018,与四球2018,与死球2018,奪三振2018,失点2018,自責点2018,WHIP2018,DIPS2018
306,113,唐川　侑己,ロッテ,3.68,14,1,3,0,1,0.25,147,36.2,35,5,9,1,28,17,15,1.20,4.10
104,113,中後　悠平,DeNA,3.68,8,0,0,0,1,0.0,35,7.1,7,0,6,1,4,3,3,1.77,4.89
48,115,原　樹理,ヤクルト,3.71,26,4,6,0,1,0.4,382,89.2,85,3,28,3,78,47,37,1.26,2.85
728,116,辛島　航,楽天,3.72,20,4,8,0,0,0.33299999999999996,448,104.0,105,8,40,7,91,45,43,1.39,3.70
322,116,才木　浩人,阪神,3.72,15,5,7,0,0,0.41700000000000004,295,67.2,60,10,30,4,72,31,28,1.33,4.42
399,116,上原　健太,日本ハム,3.72,7,1,0,0,0,1.0,81,19.1,17,1,7,0,13,8,8,1.24,3.53
497,116,濱矢　廣大,楽天,3.72,7,0,0,0,0,0.0,41,9.2,9,1,4,0,8,4,4,1.34,4.05
375,120,チェン・グァンユウ,ロッテ,3.73,16,0,1,0,1,0.0,134,31.1,31,4,14,0,21,14,13,1.44,4.78
896,122,上原　浩治,巨人,3.77,32,0,5,0,12,0.0,122,31.0,28,5,4,1,21,13,13,1.03,4.35
524,123,西　勇輝,オリックス,3.79,21,8,11,0,0,0.42100000000000004,577,137.2,140,12,29,6,103,58,58,1.23,3.48
692,124,石川　柊太,ソフトバンク,3.80,29,11,6,0,2,0.647,485,113.2,105,17,38,12,83,51,48,1.26,4.92
738,124,吉見　一起,中日,3.80,18,5,5,0,0,0.5,463,113.2,120,13,21,3,54,48,48,1.24,4.29
319,126,涌井　秀章,ロッテ,3.82,19,5,8,0,0,0.385,543,129.2,134,13,39,2,83,58,55,1.33,4.00
264,127,則本　昂大,楽天,3.84,22,7,10,0,0,0.41200000000000003,639,152.1,144,16,41,3,162,68,65,1.21,3.19
788,128,秋山　拓巳,阪神,3.86,17,5,10,0,0,0.33299999999999996,437,105.0,111,8,18,4,89,46,45,1.23,3.04
623,128,鈴木　博志,中日,3.86,50,4,5,4,12,0.444,204,46.2,42,7,24,1,39,24,20,1.41,4.94
387,128,平良　拳太郎,DeNA,3.86,8,2,2,0,0,0.5,178,39.2,42,4,24,0,27,20,17,1.66,4.73
163,128,岩本　輝,オリックス,3.86,14,1,2,0,5,0.33299999999999996,51,11.2,11,3,4,0,7,6,5,1.29,6.03
142,128,尾仲　祐哉,阪神,3.86,12,0,1,0,0,0.0,51,11.2,13,1,4,0,14,6,5,1.46,2.86
654,128,宮台　康平,日本ハム,3.86,1,0,0,0,0,0.0,24,4.2,4,0,4,2,3,2,2,1.71,5.69
754,134,山口　俊,巨人,3.87,21,8,8,0,0,0.5,592,142.0,118,18,53,8,132,63,61,1.20,4.20
640,134,金子　千尋,オリックス,3.87,17,4,7,0,0,0.364,430,100.0,97,11,35,3,72,47,43,1.32,4.25
660,136,内　竜也,ロッテ,3.91,52,3,5,25,7,0.375,215,53.0,44,4,17,1,51,23,23,1.15,2.97
629,137,東浜　巨,ソフトバンク,3.93,12,3,5,0,0,0.375,309,73.1,67,13,24,2,66,35,32,1.24,4.69
680,137,松坂　大輔,中日,3.93,10,5,4,0,0,0.556,232,50.1,45,5,31,4,47,24,22,1.51,4.63
61,139,伊藤　準規,中日,3.95,11,2,0,0,1,1.0,65,13.2,13,2,11,2,6,6,6,1.76,7.00
197,140,玉井　大翔,日本ハム,3.96,31,1,2,0,2,0.33299999999999996,163,38.2,31,4,12,6,31,18,17,1.11,4.18
426,141,内海　哲也,巨人,3.97,14,5,4,0,0,0.556,334,77.0,87,9,19,3,52,34,34,1.38,4.07
549,142,山岡　泰輔,オリックス,4.00,25,5,10,0,4,0.33299999999999996,499,117.0,111,18,42,5,93,59,52,1.31,4.71
199,142,ジー,中日,4.00,4,0,3,0,0,0.0,111,27.0,26,5,7,2,16,14,12,1.22,5.34
853,142,小野　郁,楽天,4.00,7,0,1,0,0,0.0,38,9.0,9,1,3,2,8,4,4,1.33,4.45
903,145,山井　大介,中日,4.04,10,3,6,0,0,0.33299999999999996,259,62.1,55,12,21,1,43,28,28,1.22,5.30
231,146,ブキャナン,ヤクルト,4.05,24,9,10,0,0,0.474,663,153.1,166,16,47,9,84,74,69,1.39,4.40
812,146,髙橋　聡文,阪神,4.05,14,0,0,0,2,0.0,64,13.1,18,1,5,0,8,6,6,1.73,3.80
241,148,田嶋　大樹,オリックス,4.06,12,6,3,0,0,0.667,291,68.2,60,9,24,4,69,33,31,1.22,4.04
550,149,十亀　剣,西武,4.08,19,5,8,0,0,0.385,501,117.0,104,15,52,6,77,57,53,1.33,4.96
557,150,相内　誠,西武,4.09,7,0,1,0,0,0.0,46,11.0,7,1,6,1,7,5,5,1.18,4.94
513,151,松井　裕樹,楽天,4.10,48,4,7,3,11,0.364,227,52.2,45,4,26,2,65,24,24,1.35,3.12
418,152,小笠原　慎之介,中日,4.11,17,5,6,0,0,0.455,466,107.1,108,15,47,3,73,53,49,1.44,4.97
434,152,山中　浩史,ヤクルト,4.11,10,1,0,0,1,1.0,136,30.2,37,2,9,2,16,15,14,1.50,3.90
628,154,加藤　貴之,日本ハム,4.15,22,5,6,0,2,0.455,404,95.1,105,4,22,2,68,47,44,1.33,2.99
900,154,吉川　光夫,巨人,4.15,19,6,5,0,0,0.545,370,86.2,79,12,34,4,63,40,40,1.30,4.78
171,156,土肥　星也,ロッテ,4.19,4,1,0,0,0,1.0,82,19.1,19,2,9,0,13,9,9,1.45,4.36
515,157,飯塚　悟史,DeNA,4.20,8,1,5,0,0,0.16699999999999998,180,40.2,46,6,20,1,31,20,19,1.62,4.84
304,157,石崎　剛,阪神,4.20,12,0,0,0,1,0.0,65,15.0,10,2,10,1,23,7,7,1.33,3.99
851,159,ワグナー,西武,4.22,36,2,1,1,9,0.667,147,32.0,29,3,23,2,24,21,15,1.63,5.18
606,160,濵口　遥大,DeNA,4.27,14,2,5,0,0,0.28600000000000003,325,71.2,75,8,40,3,76,35,34,1.60,4.17
546,161,古川　侑利,楽天,4.31,14,4,7,0,0,0.364,333,77.1,78,8,37,0,62,37,37,1.49,4.26
3,162,井納　翔一,DeNA,4.37,22,4,3,1,8,0.5710000000000001,208,47.1,53,4,15,2,34,26,23,1.44,3.73
366,162,秋吉　亮,ヤクルト,4.37,32,2,2,0,6,0.5,152,35.0,37,4,10,2,20,19,17,1.34,4.23
