,登録名,チーム2018,奪三振2018,奪三振2017,奪三振2016,奪三振2015,奪三振2014,奪三振2013,奪三振2012,奪三振2011,奪三振2010,奪三振2009,総奪三振数,総奪三振率,総投球回
591,佐々木　千隼,,,59.0,,,,,,,,,59.0,0.6933019976498238,85.1
528,松下　建太,,,,,,,7.0,,,,,7.0,0.6930693069306931,10.1
742,長谷部　康平,,,,2.0,3.0,31.0,31.0,,20.0,30.0,65.0,182.0,0.6925418569254187,262.79999999999995
284,菊地原　毅,,,,,,,8.0,3.0,1.0,7.0,29.0,48.0,0.6916426512968299,69.4
197,玉井　大翔,日本ハム,31.0,12.0,,,,,,,,,43.0,0.6902086677367576,62.300000000000004
762,コーク,,,16.0,,,,,,,,,16.0,0.6896551724137931,23.2
704,ポレダ,,,,19.0,101.0,,,,,,,120.0,0.6896551724137931,174.0
9,星野　真澄,,,,,,,,7.0,1.0,24.0,,32.0,0.689655172413793,46.400000000000006
184,バリントン,,,,,46.0,85.0,117.0,137.0,136.0,,,521.0,0.6892446090752745,755.9
708,塚原　頌平,,,4.0,40.0,25.0,,,25.0,,,,94.0,0.689149560117302,136.4
543,武隈　祥太,西武,19.0,36.0,53.0,36.0,33.0,4.0,17.0,1.0,15.0,3.0,217.0,0.6884517766497462,315.2
542,中村　祐太,広島,22.0,54.0,,,,,,,,,76.0,0.6884057971014492,110.4
840,西口　文也,,,,,4.0,11.0,7.0,44.0,104.0,43.0,60.0,273.0,0.6883509833585476,396.6
195,カスティーヨ,西武,51.0,,,,,,,,,,51.0,0.688259109311741,74.1
477,バース,,,,71.0,,,,,,,,71.0,0.687984496124031,103.2
817,大沼　幸二,,,,,,,,,9.0,15.0,45.0,69.0,0.6879361914257228,100.3
661,ダービン,,,,,,,,,,11.0,,11.0,0.6875,16.0
560,パディーヤ,,,,,,,40.0,,,,,40.0,0.6872852233676976,58.2
150,藤田　宗一,,,,,,,,,8.0,,10.0,18.0,0.6870229007633587,26.200000000000003
99,歳内　宏明,,,,3.0,23.0,25.0,1.0,3.0,,,,55.0,0.686641697877653,80.1
417,堀　瑞輝,日本ハム,17.0,7.0,,,,,,,,,24.0,0.6857142857142857,35.0
466,福田　聡志,,,,,,6.0,14.0,51.0,12.0,22.0,31.0,136.0,0.6854838709677419,198.4
3,井納　翔一,DeNA,34.0,93.0,113.0,92.0,104.0,66.0,,,,,502.0,0.6850436681222708,732.8
126,レイ,,,,12.0,76.0,,10.0,,,,,98.0,0.6843575418994414,143.2
659,篠原　貴行,,,,,,,,12.0,35.0,5.0,,52.0,0.6842105263157895,76.0
133,福田　岳洋,,,,,,,3.0,6.0,,15.0,,24.0,0.6837606837606838,35.1
639,田原　誠次,巨人,19.0,17.0,29.0,18.0,15.0,8.0,23.0,,,,129.0,0.6836248012718601,188.7
55,寺原　隼人,ソフトバンク,15.0,28.0,10.0,58.0,14.0,56.0,61.0,112.0,,77.0,431.0,0.682069947776547,631.9
60,郭　俊麟,西武,4.0,,20.0,49.0,,,,,,,73.0,0.6803355079217147,107.30000000000001
35,コーリー,,,,,,,,,,30.0,,30.0,0.6802721088435374,44.1
302,ゴンザレス,,,,,,,8.0,,,88.0,113.0,209.0,0.680117149365441,307.29999999999995
293,佐藤　勇,,,,17.0,,,,,,,,17.0,0.68,25.0
49,小笠原　孝,,,,,,,,14.0,3.0,8.0,86.0,111.0,0.6793145654834761,163.4
309,フィガロ,,,,,,,,37.0,90.0,,,127.0,0.6784188034188035,187.2
501,松永　浩典,,,,,,,,31.0,11.0,1.0,15.0,58.0,0.6783625730994152,85.5
872,川崎　雄介,,,,,,,,,3.0,14.0,24.0,41.0,0.6776859504132231,60.5
896,上原　浩治,巨人,21.0,,,,,,,,,,21.0,0.6774193548387096,31.0
602,ガルセス,,,21.0,,,,,,,,,21.0,0.6774193548387096,31.0
751,石川　歩,ロッテ,68.0,73.0,104.0,126.0,111.0,,,,,,482.0,0.6763962952568061,712.5999999999999
86,林　昌樹,,,,,,,,,5.0,19.0,27.0,51.0,0.676392572944297,75.4
596,バスケス,,,,13.0,21.0,,,,,,,34.0,0.6759443339960238,50.300000000000004
397,桜井　俊貴,,,16.0,5.0,,,,,,,,21.0,0.67524115755627,31.1
903,山井　大介,中日,43.0,5.0,45.0,79.0,103.0,63.0,80.0,35.0,84.0,29.0,566.0,0.6736491311592476,840.2000000000002
361,釜田　佳直,楽天,9.0,34.0,77.0,12.0,,11.0,77.0,,,,220.0,0.6736068585425596,326.6
29,金刃　憲人,,,3.0,25.0,5.0,2.0,25.0,,40.0,18.0,3.0,121.0,0.6733444629938787,179.7
567,金村　曉,,,,,,,,,,0.0,23.0,23.0,0.6725146198830408,34.2
691,藤原　正典,,,,,,,10.0,3.0,17.0,10.0,,40.0,0.6722689075630253,59.5
453,七條　祐樹,,,,,,15.0,30.0,12.0,36.0,,,93.0,0.6719653179190751,138.4
210,星　知弥,ヤクルト,13.0,71.0,,,,,,,,,84.0,0.6714628297362111,125.1
370,有原　航平,日本ハム,85.0,88.0,103.0,81.0,,,,,,,357.0,0.6706744317114409,532.3
906,武藤　祐太,DeNA,15.0,,3.0,10.0,18.0,50.0,31.0,7.0,,,134.0,0.6706706706706707,199.8
552,山本　省吾,,,,,,,1.0,15.0,50.0,79.0,110.0,255.0,0.6701708278580815,380.5
221,渡辺　亮,,,,,1.0,7.0,8.0,33.0,36.0,53.0,34.0,172.0,0.6695212144803426,256.9
332,バルデス,,,83.0,103.0,93.0,,,,,13.0,,292.0,0.6678865507776761,437.2
522,平井　正史,,,,,,0.0,19.0,3.0,12.0,29.0,16.0,79.0,0.6672297297297297,118.4
0,進藤　拓也,,,10.0,,,,,,,,,10.0,0.6666666666666666,15.0
662,ロー,,,,,,,,,,,18.0,18.0,0.6666666666666666,27.0
259,川原　弘之,,,,,,,1.0,3.0,,,,4.0,0.6666666666666666,6.0
314,カストロ,,,,,,,,2.0,,,,2.0,0.6666666666666666,3.0
326,中澤　雅人,ヤクルト,21.0,21.0,11.0,21.0,20.0,8.0,8.0,1.0,62.0,,173.0,0.6656406310119276,259.90000000000003
595,酒居　知史,ロッテ,49.0,48.0,,,,,,,,,97.0,0.6630211893369787,146.3
679,村田　透,日本ハム,38.0,39.0,,,,,,,,,77.0,0.6626506024096386,116.2
180,川島　亮,,,,,,,,,1.0,12.0,48.0,61.0,0.6623235613463627,92.1
658,チューク,,,,,,,,,,12.0,,12.0,0.6593406593406593,18.2
695,中郷　大樹,,,,,,7.0,31.0,36.0,19.0,,17.0,110.0,0.6578947368421053,167.2
387,平良　拳太郎,DeNA,27.0,6.0,4.0,,,,,,,,37.0,0.6560283687943261,56.400000000000006
11,松井　光介,,,,,,,1.0,12.0,19.0,25.0,12.0,69.0,0.6558935361216731,105.19999999999999
106,岩嵜　翔,ソフトバンク,2.0,66.0,61.0,5.0,37.0,54.0,77.0,33.0,9.0,1.0,345.0,0.6545247581104154,527.1
749,山本　翔也,阪神,1.0,3.0,1.0,10.0,1.0,,,,,,16.0,0.6530612244897959,24.5
437,オビスポ,,,,,,,,,0.0,22.0,48.0,70.0,0.6523765144454798,107.30000000000001
873,高木　伴,,,,,6.0,,,,,,,6.0,0.6521739130434783,9.2
791,横山　弘樹,,,,17.0,,,,,,,,17.0,0.6513409961685823,26.1
618,青木　高広,,,,,,15.0,19.0,,39.0,45.0,50.0,168.0,0.6506584043377227,258.2
146,三浦　大輔,,,,14.0,62.0,55.0,109.0,107.0,74.0,58.0,138.0,617.0,0.6500210703750526,949.2
283,松本　直晃,西武,16.0,,1.0,,,,,,,,17.0,0.648854961832061,26.2
354,グライシンガー,,,,,,,52.0,112.0,33.0,16.0,91.0,304.0,0.6487409304310713,468.6
622,木谷　良平,,,,1.0,2.0,35.0,55.0,,,,,93.0,0.6485355648535565,143.4
255,尚成,,,,,,33.0,,,,,,33.0,0.6470588235294118,51.0
786,小林　寛,,,3.0,0.0,11.0,,38.0,,9.0,,,61.0,0.6455026455026455,94.5
738,吉見　一起,中日,54.0,38.0,81.0,39.0,6.0,29.0,76.0,120.0,115.0,147.0,705.0,0.6454270804723977,1092.3
236,金平　将至,,,,0.0,1.0,5.0,,,,,,6.0,0.6451612903225806,9.3
891,服部　泰卓,,,,,,3.0,21.0,,1.0,5.0,,30.0,0.6437768240343347,46.60000000000001
202,大竹　寛,巨人,5.0,50.0,71.0,35.0,79.0,100.0,85.0,15.0,9.0,127.0,576.0,0.6430724572959696,895.7
218,上園　啓史,,,,,,14.0,11.0,2.0,,39.0,2.0,68.0,0.6427221172022684,105.80000000000001
162,大谷　智久,ロッテ,31.0,33.0,15.0,53.0,40.0,27.0,44.0,78.0,5.0,,326.0,0.6419850334777472,507.8
170,金澤　健人,,,,,,,12.0,28.0,30.0,30.0,5.0,105.0,0.6418092909535453,163.59999999999997
562,ロマン,,,,,58.0,9.0,44.0,96.0,,,,207.0,0.6416615003099814,322.6
673,ブランドン,,,,,,,,42.0,17.0,,,59.0,0.6399132321041215,92.19999999999999
416,木塚　敦志,,,,,,,,,,2.0,20.0,22.0,0.6395348837209303,34.4
489,黒田　博樹,,,,98.0,106.0,,,,,,,204.0,0.6367041198501873,320.4
557,相内　誠,西武,7.0,,,,,,,,,,7.0,0.6363636363636364,11.0
579,ラルー,,,,,,,14.0,,,,,14.0,0.6363636363636364,22.0
279,フィリップス,,,,,,7.0,,,,,,7.0,0.6363636363636364,11.0
257,久米　勇紀,,,,,,,,,,1.0,13.0,14.0,0.6363636363636364,22.0
617,山本　斉,,,,,,,,,36.0,1.0,3.0,40.0,0.6349206349206349,63.0
187,赤川　克紀,,,,,,16.0,26.0,91.0,66.0,3.0,0.0,202.0,0.6342229199372057,318.5
256,土屋　健二,,,,,,3.0,7.0,0.0,,3.0,,13.0,0.6341463414634146,20.5
755,小熊　凌祐,中日,34.0,9.0,25.0,24.0,0.0,19.0,1.0,8.0,,,120.0,0.6339144215530904,189.29999999999998
711,小石　博孝,西武,10.0,8.0,55.0,5.0,8.0,12.0,7.0,,,,105.0,0.6336753168376584,165.7
651,江柄子　裕樹,,,2.0,4.0,,15.0,2.0,14.0,,,,37.0,0.6335616438356164,58.400000000000006
176,清水　直行,,,,,,,,,20.0,105.0,88.0,213.0,0.6335514574657942,336.2
813,ブレイシア,,,19.0,,,,,,,,,19.0,0.6333333333333333,30.0
303,金森　敬之,,,,1.0,17.0,,,,,22.0,9.0,49.0,0.6330749354005167,77.4
712,大竹　耕太郎,ソフトバンク,21.0,,,,,,,,,,21.0,0.6325301204819277,33.2
470,野村　祐輔,広島,46.0,106.0,91.0,51.0,75.0,103.0,103.0,,,,575.0,0.6318681318681318,910.0
203,安藤　優也,,,0.0,24.0,32.0,41.0,32.0,42.0,1.0,31.0,97.0,300.0,0.6315789473684211,474.99999999999994
621,帆足　和幸,,,,,12.0,40.0,46.0,1.0,102.0,104.0,126.0,431.0,0.6303012576776835,683.8
306,唐川　侑己,ロッテ,28.0,86.0,64.0,31.0,62.0,80.0,32.0,122.0,51.0,115.0,671.0,0.6299877945732795,1065.1000000000001
44,田村　伊知郎,西武,3.0,9.0,,,,,,,,,12.0,0.6282722513089005,19.1
845,森原　康平,楽天,8.0,21.0,,,,,,,,,29.0,0.6277056277056277,46.2
231,ブキャナン,ヤクルト,84.0,112.0,,,,,,,,,196.0,0.6276016650656421,312.29999999999995
69,クロッタ,,,,,18.0,36.0,,,,,,54.0,0.6257242178447278,86.3
359,小林　敦,,,,,,,,,22.0,,,22.0,0.625,35.2
396,オセゲラ,,,,,,7.0,23.0,,,,,30.0,0.625,48.0
91,森内　壽春,,,,,2.0,2.0,6.0,37.0,,,,47.0,0.6241699867197875,75.3
498,王　溢正,,,,,,,,15.0,,,,15.0,0.6224066390041494,24.1
26,八木　智哉,,,6.0,2.0,45.0,2.0,8.0,37.0,4.0,27.0,76.0,207.0,0.6223692122669874,332.6
104,中後　悠平,DeNA,4.0,,,,1.0,0.0,15.0,,,,20.0,0.6211180124223602,32.2
771,吉川　輝昭,,,,,,,13.0,23.0,23.0,9.0,10.0,78.0,0.6210191082802548,125.60000000000001
100,高堀　和也,,,,,,,5.0,12.0,,,,17.0,0.6204379562043796,27.4
842,岡本　洋介,阪神,17.0,35.0,1.0,43.0,53.0,55.0,1.0,,6.0,,211.0,0.6191314553990611,340.79999999999995
863,ペン,,,,,,,,15.0,15.0,27.0,,57.0,0.6182212581344902,92.2
166,藤田　太陽,,,,,,,6.0,3.0,13.0,29.0,,51.0,0.6181818181818182,82.5
527,クレイマー,,,,,,,,5.0,,,,5.0,0.617283950617284,8.1
81,牧野　塁,,,,,,,,,,,13.0,13.0,0.6161137440758293,21.1
96,西川　健太郎,,,,,6.0,,27.0,4.0,,,,37.0,0.6156405990016639,60.1
52,山崎　福也,,,,,35.0,,,,,,,35.0,0.6118881118881119,57.2
440,小林　太志,,,,,,2.0,9.0,44.0,40.0,26.0,37.0,158.0,0.6112185686653772,258.5
79,星野　大地,,,,,,3.0,5.0,,,,,8.0,0.6106870229007634,13.1
40,松葉　貴大,オリックス,8.0,72.0,82.0,42.0,88.0,44.0,,,,,336.0,0.6091370558375635,551.5999999999999
491,武田　久,,,3.0,0.0,,7.0,28.0,34.0,28.0,37.0,38.0,175.0,0.6080611535788744,287.79999999999995
190,木田　優夫,,,,,,,,0.0,3.0,30.0,31.0,64.0,0.6072106261859582,105.4
121,野上　亮磨,巨人,48.0,113.0,62.0,77.0,68.0,93.0,49.0,3.0,40.0,33.0,586.0,0.6066252587991717,966.0000000000001
532,木村　優太,,,,8.0,7.0,24.0,,,,,,39.0,0.6065318818040436,64.3
76,佐藤　誠,,,,,,,,,,,14.0,14.0,0.6060606060606061,23.1
758,今野　龍太,楽天,6.0,,,1.0,1.0,,,,,,8.0,0.6060606060606061,13.2
597,アダメス,巨人,14.0,,,,,,,,,,14.0,0.6060606060606061,23.1
163,岩本　輝,オリックス,7.0,,,20.0,1.0,2.0,11.0,,,,41.0,0.6047197640117994,67.8
588,武藤　好貴,,,,2.0,38.0,13.0,,10.0,,,,63.0,0.603448275862069,104.4
565,土肥　義弘,,,,,,,,,,10.0,7.0,17.0,0.6028368794326241,28.2
66,岡本　健,ソフトバンク,21.0,10.0,10.0,,,,,,,,41.0,0.6020558002936858,68.1
428,川上　憲伸,,,,,,24.0,12.0,17.0,,,,53.0,0.600907029478458,88.2
587,小山田　保裕,,,,,,,,,,,6.0,6.0,0.6,10.0
193,寺田　哲也,,,,0.0,3.0,,,,,,,3.0,0.6,5.0
768,藤原　良平,,,5.0,9.0,7.0,30.0,2.0,0.0,5.0,,,58.0,0.5997931747673216,96.7
713,大嶺　祐太,,,21.0,14.0,70.0,31.0,29.0,,1.0,52.0,59.0,277.0,0.5995670995670995,462.0
206,藤嶋　健人,中日,36.0,,,,,,,,,,36.0,0.5990016638935108,60.1
122,梅津　智弘,,,,,,9.0,6.0,5.0,11.0,24.0,16.0,71.0,0.5981465880370682,118.7
159,正田　樹,,,,,,,10.0,14.0,,,,24.0,0.5955334987593053,40.3
289,トンキン,日本ハム,28.0,,,,,,,,,,28.0,0.5944798301486199,47.1
895,トーマス,,,,,,,6.0,,,,,6.0,0.594059405940594,10.1
809,山田　大樹,ヤクルト,3.0,4.0,9.0,,0.0,17.0,83.0,67.0,44.0,,227.0,0.5939298796441653,382.2
778,香月　良仁,,,,4.0,36.0,3.0,1.0,5.0,,6.0,,55.0,0.5933117583603021,92.69999999999999
199,ジー,中日,16.0,,,,,,,,,,16.0,0.5925925925925926,27.0
186,本田　圭佑,西武,0.0,5.0,3.0,,,,,,,,8.0,0.5925925925925926,13.5
852,朝倉　健太,,,,,1.0,44.0,6.0,13.0,4.0,31.0,83.0,182.0,0.591869918699187,307.5
506,古野　正人,ヤクルト,4.0,,8.0,39.0,47.0,15.0,,,,,113.0,0.5906952430737061,191.3
247,木村　文紀,,,,,,,,6.0,17.0,,,23.0,0.5897435897435898,39.0
245,戸田　亮,,,,,,,3.0,,,,,3.0,0.5882352941176471,5.1
664,伊藤　翔,西武,10.0,,,,,,,,,,10.0,0.5882352941176471,17.0
220,ルブラン,,,,,26.0,,,,,,,26.0,0.588235294117647,44.2
263,海田　智行,オリックス,0.0,5.0,31.0,27.0,11.0,44.0,30.0,,,,148.0,0.5877680698967435,251.79999999999998
694,山本　哲哉,ヤクルト,0.0,10.0,,11.0,22.0,38.0,38.0,5.0,,,124.0,0.5873993368072005,211.09999999999997
117,グリン,,,,,,,,,,,69.0,69.0,0.5847457627118644,118.0
129,石川　雅規,ヤクルト,69.0,88.0,52.0,90.0,101.0,85.0,100.0,127.0,98.0,84.0,894.0,0.5845811809324528,1529.2999999999997
209,山本昌,,,,,2.0,9.0,39.0,40.0,,28.0,14.0,132.0,0.5825242718446603,226.59999999999997
803,高木　康成,,,,,,,1.0,25.0,24.0,19.0,4.0,73.0,0.5816733067729083,125.50000000000001
39,宮國　椋丞,巨人,25.0,41.0,14.0,28.0,6.0,50.0,54.0,,,,218.0,0.5807139051678211,375.4
693,岩崎　哲也,,,,,,,,,0.0,2.0,15.0,17.0,0.5802047781569966,29.3
97,藤井　秀悟,,,,,,,61.0,40.0,1.0,91.0,63.0,256.0,0.5789235639981909,442.2
770,川越　英隆,,,,,,,,,15.0,14.0,17.0,46.0,0.5786163522012578,79.5
670,眞下　貴之,,,,,,,,,9.0,5.0,,14.0,0.578512396694215,24.2
137,岩下　大輝,ロッテ,7.0,,,,,,,,,,7.0,0.578512396694215,12.1
646,マルティネス,日本ハム,78.0,,,,,,,,,,78.0,0.5777777777777777,135.0
710,藤原　紘通,,,,,,,,,1.0,8.0,49.0,58.0,0.5771144278606966,100.5
292,メルセデス,巨人,34.0,,,,,,,,,,34.0,0.5743243243243243,59.2
243,斎藤　佑樹,日本ハム,2.0,14.0,14.0,24.0,20.0,1.0,59.0,62.0,,,196.0,0.5739385065885798,341.5
823,ドイル,,,,,,,,7.0,,,,7.0,0.5737704918032788,12.2
433,戸村　健次,楽天,0.0,22.0,23.0,78.0,4.0,22.0,19.0,26.0,13.0,,207.0,0.5737250554323724,360.80000000000007
188,池田　隆英,楽天,24.0,,,,,,,,,,24.0,0.5687203791469194,42.2
215,高橋　建,,,,,,,,,,17.0,,17.0,0.5666666666666667,30.0
258,篠原　慎平,巨人,2.0,19.0,,,,,,,,,21.0,0.5660377358490566,37.1
507,ジェン,,,,,,,,,,0.0,18.0,18.0,0.5607476635514018,32.1
766,阿斗里,,,,,,,,2.0,1.0,28.0,1.0,32.0,0.5604203152364273,57.1
420,田中　靖洋,ロッテ,16.0,6.0,11.0,13.0,2.0,,6.0,,7.0,,61.0,0.5601469237832875,108.89999999999999
792,山村　宏樹,,,,,,,,,15.0,22.0,0.0,37.0,0.5597579425113465,66.1
53,牧田　和久,,,35.0,43.0,66.0,89.0,87.0,108.0,86.0,,,514.0,0.55930359085963,919.0
668,成田　翔,ロッテ,1.0,8.0,,,,,,,,,9.0,0.5590062111801242,16.1
473,鶴　直人,,,,0.0,5.0,12.0,17.0,30.0,16.0,46.0,0.0,126.0,0.5580159433126661,225.79999999999998
608,高野　圭佑,ロッテ,3.0,7.0,7.0,,,,,,,,17.0,0.5573770491803278,30.5
798,多田野　数人,,,,,,1.0,6.0,48.0,17.0,8.0,46.0,126.0,0.5560458958517212,226.6
348,オスカル,,,0.0,13.0,,,,,,,,13.0,0.5555555555555556,23.4
652,栂野　雅史,,,,,,,,,,0.0,4.0,4.0,0.5555555555555556,7.2
411,糸数　敬作,,,,,,,,0.0,14.0,17.0,43.0,74.0,0.5555555555555556,133.2
682,ソリアーノ,,,,,,,,,12.0,27.0,,39.0,0.5555555555555556,70.2
625,ジャマーノ,,,,,,,,,,,42.0,42.0,0.5526315789473685,76.0
201,上野　大樹,,,,,3.0,24.0,41.0,11.0,36.0,6.0,23.0,144.0,0.5523590333716917,260.7
147,中村　恭平,広島,11.0,,17.0,3.0,,31.0,6.0,4.0,,,72.0,0.5521472392638036,130.4
573,平野　将光,,,,,,4.0,,5.0,36.0,34.0,15.0,94.0,0.5513196480938416,170.5
726,小野　淳平,,,,3.0,,20.0,13.0,5.0,33.0,,,74.0,0.5510052122114668,134.3
853,小野　郁,楽天,8.0,1.0,7.0,0.0,,,,,,,16.0,0.549828178694158,29.1
299,坂元　弥太郎,,,,,,,14.0,,12.0,,11.0,37.0,0.549777117384844,67.3
367,髙橋　朋己,西武,0.0,2.0,2.0,,,,,,,,4.0,0.547945205479452,7.3
482,山﨑　福也,オリックス,9.0,21.0,37.0,,,,,,,,67.0,0.5478331970564186,122.30000000000001
474,土屋　朋弘,,,,,,,6.0,2.0,7.0,1.0,,16.0,0.5460750853242321,29.299999999999997
570,藪　恵壹,,,,,,,,,,6.0,,6.0,0.5454545454545454,11.0
745,下柳　剛,,,,,,,,4.0,18.0,58.0,64.0,144.0,0.5452480121166224,264.1
795,渡辺　恒樹,,,,,,,,2.0,9.0,6.0,,17.0,0.5431309904153354,31.3
114,伊原　正樹,,,,,,,,,1.0,11.0,11.0,23.0,0.5424528301886793,42.4
164,ウルフ,西武,35.0,74.0,8.0,3.0,32.0,60.0,83.0,90.0,24.0,,409.0,0.5419371935868557,754.7
138,根本　朋久,,,,,,,3.0,6.0,1.0,10.0,2.0,22.0,0.541871921182266,40.6
763,河原　純一,,,,,,,,,12.0,1.0,18.0,31.0,0.5410122164048866,57.3
329,ソコロビッチ,,,,,,,6.0,,,,,6.0,0.5405405405405406,11.1
841,須永　英輝,,,,,2.0,0.0,,,,9.0,7.0,18.0,0.5405405405405406,33.3
611,武田　勝,,,,1.0,15.0,33.0,47.0,90.0,87.0,106.0,99.0,478.0,0.5395642849080031,885.9000000000001
380,上野　弘文,,,,,,0.0,10.0,,19.0,11.0,3.0,43.0,0.5395232120451694,79.7
103,三井　浩二,,,,,,,,,,,7.0,7.0,0.5384615384615384,13.0
479,ブラックリー,,,,,,7.0,,,,,,7.0,0.5384615384615384,13.0
657,二保　旭,ソフトバンク,16.0,,,28.0,,3.0,,,,,47.0,0.5377574370709381,87.4
702,マシス,,,,,,,,14.0,,,,14.0,0.5363984674329502,26.1
368,有吉　優樹,ロッテ,46.0,27.0,,,,,,,,,73.0,0.5363703159441587,136.1
267,ミンチェ,,,,,,,0.0,14.0,40.0,,,54.0,0.5335968379446641,101.19999999999999
892,篠田　純平,,,,,,24.0,0.0,12.0,49.0,58.0,29.0,172.0,0.5308641975308642,324.0
465,小宮山　悟,,,,,,,,,,,7.0,7.0,0.5303030303030303,13.2
36,清水　章夫,,,,,,,,,,,18.0,18.0,0.5263157894736842,34.2
134,西川　雅人,,,,,,,,0.0,4.0,1.0,4.0,9.0,0.5263157894736842,17.1
445,ヒメネス,,,,,,,,63.0,27.0,,,90.0,0.5253940455341506,171.3
438,豊田　拓矢,西武,0.0,,7.0,2.0,17.0,,,,,,26.0,0.5252525252525253,49.5
581,小野　晋吾,,,,,,,,42.0,31.0,37.0,77.0,187.0,0.5249859629421674,356.2
839,ファイフ,,,11.0,,,,,,,,,11.0,0.5238095238095238,21.0
168,中村　勝,,,4.0,9.0,26.0,43.0,18.0,29.0,7.0,14.0,,150.0,0.5237430167597765,286.40000000000003
261,香月　良太,,,,,5.0,19.0,8.0,21.0,15.0,35.0,35.0,138.0,0.5235204855842186,263.59999999999997
45,高橋　礼,ソフトバンク,9.0,,,,,,,,,,9.0,0.5232558139534884,17.2
827,鄭　凱文,,,,,,,11.0,6.0,5.0,,,22.0,0.5213270142180094,42.2
467,許　銘傑,,,,,,,,,,62.0,21.0,83.0,0.5177791640673737,160.3
323,近藤　弘樹,楽天,15.0,,,,,,,,,,15.0,0.5172413793103449,29.0
350,山本　淳,,,,,,,10.0,3.0,,3.0,6.0,22.0,0.5164319248826291,42.599999999999994
297,鈴木　義広,,,,,,0.0,7.0,4.0,20.0,21.0,2.0,54.0,0.515267175572519,104.80000000000001
897,カーライル,,,,,,,,,,14.0,,14.0,0.5147058823529412,27.2
656,齊藤　悠葵,,,,,,,,13.0,,49.0,71.0,133.0,0.5111452728670254,260.2
733,真田　裕貴,,,,,,7.0,,0.0,18.0,41.0,36.0,102.0,0.5089820359281437,200.4
887,大塚　豊,,,,,1.0,9.0,5.0,,5.0,,,20.0,0.5089058524173028,39.300000000000004
353,水田　章雄,,,,,,,,,,6.0,22.0,28.0,0.5081669691470054,55.1
57,ハミルトン,,,,,,,,8.0,17.0,,,25.0,0.5081300813008129,49.2
496,川井　貴志,,,,7.0,11.0,27.0,13.0,10.0,29.0,28.0,17.0,142.0,0.5071428571428571,280.0
644,マクレーン,,,,,,,,28.0,22.0,,,50.0,0.5050505050505051,99.0
831,朴　贊浩,,,,,,,,,21.0,,,21.0,0.5,42.0
681,中﨑　雄太,,,,3.0,,,,,,,,3.0,0.5,6.0
850,高橋　光成,,,,,22.0,,,,,,,22.0,0.5,44.0
281,有馬　翔,,,,,,,3.0,,,,,3.0,0.5,6.0
683,福永　春吾,阪神,0.0,3.0,,,,,,,,,3.0,0.5,6.0
889,椎野　新,ソフトバンク,1.0,,,,,,,,,,1.0,0.5,2.0
8,ブロードウェイ,,,,3.0,,,,,,,,3.0,0.5,6.0
674,赤間　謙,,,4.0,19.0,,,,,,,,23.0,0.4989154013015184,46.1
34,弥太郎,,,,,,,,,,16.0,,16.0,0.49689440993788814,32.2
244,若竹　竜士,,,,,,,,0.0,2.0,4.0,,6.0,0.49586776859504134,12.1
463,大家　友和,,,,,,,,,14.0,62.0,,76.0,0.4954367666232073,153.4
374,ドーマン,,,,,,,,,,,4.0,4.0,0.4938271604938272,8.1
27,川井　雄太,,,,,,,,,46.0,13.0,57.0,116.0,0.4931972789115647,235.2
624,長谷川　潤,,,,3.0,,,,,,,,3.0,0.49180327868852464,6.1
475,スウィーニー,,,,,,,,,,,58.0,58.0,0.4911092294665538,118.1
487,高市　俊,,,,,,,,,0.0,6.0,5.0,11.0,0.4910714285714286,22.4
120,山本　雅士,,,,,2.0,,,,,,,2.0,0.48780487804878053,4.1
782,チルダース,,,,,,,,,,,2.0,2.0,0.48780487804878053,4.1
676,田面　巧二郎,,,,2.0,,,,,,,,2.0,0.48780487804878053,4.1
902,横山　貴明,,,,9.0,6.0,10.0,,,,,,25.0,0.48638132295719844,51.4
268,白仁田　寛和,,,,2.0,27.0,,3.0,0.0,1.0,,,33.0,0.4761904761904762,69.3
22,高橋　徹,,,,,,,,,,1.0,,1.0,0.47619047619047616,2.1
369,杉原　洋,,,,,,,,,,1.0,,1.0,0.47619047619047616,2.1
338,角屋　龍太,,,,1.0,,,,,,,,1.0,0.47619047619047616,2.1
328,ダース　ローマシュ匡,,,,,,,,,,1.0,,1.0,0.47619047619047616,2.1
526,金剛　弘樹,,,,,,,,,,1.0,,1.0,0.47619047619047616,2.1
703,レイノルズ,,,,,,29.0,,,,,,29.0,0.47540983606557374,61.0
559,山内　壮馬,,,,0.0,,2.0,22.0,68.0,31.0,18.0,0.0,141.0,0.4693741677762982,300.40000000000003
89,ペトリック,,,,22.0,,,,,,,,22.0,0.46709129511677283,47.1
614,グラマン,,,,,,,,,13.0,2.0,1.0,16.0,0.4664723032069971,34.3
825,ケッペル,,,,,,,16.0,2.0,66.0,85.0,,169.0,0.46633554083885215,362.4
773,アドゥワ　誠,広島,28.0,,,,,,,,,,28.0,0.46589018302828616,60.1
894,森　跳二,,,,,,,,,,2.0,0.0,2.0,0.46511627906976744,4.3
888,佐野　泰雄,西武,3.0,12.0,11.0,4.0,,,,,,,30.0,0.46511627906976744,64.5
373,福山　博之,楽天,4.0,31.0,30.0,29.0,32.0,20.0,0.0,10.0,,,156.0,0.46428571428571436,335.99999999999994
300,雄太,,,,0.0,8.0,47.0,5.0,26.0,,,,86.0,0.46386192017259975,185.4
