,登録名,チーム2018,奪三振2018,奪三振2017,奪三振2016,奪三振2015,奪三振2014,奪三振2013,奪三振2012,奪三振2011,奪三振2010,奪三振2009,総奪三振数,総奪三振率,総投球回
18,アルバース,オリックス,83.0,,,,,,,,,,83.0,0.7280701754385965,114.0
585,ミコライオ,,,,29.0,,29.0,39.0,54.0,,,,151.0,0.7280617164898746,207.4
2,村中　恭兵,ヤクルト,3.0,6.0,51.0,,22.0,65.0,89.0,60.0,163.0,35.0,494.0,0.7279693486590038,678.6
6,ガラテ,,,,,19.0,,,,,,,19.0,0.7279693486590038,26.1
793,ポーリーノ,,,,32.0,,,,,,,,32.0,0.7272727272727273,44.0
394,木佐貫　洋,,,,,2.0,21.0,95.0,96.0,60.0,140.0,2.0,416.0,0.7266375545851527,572.5000000000001
252,塩見　貴洋,楽天,53.0,30.0,111.0,78.0,78.0,,67.0,113.0,,,530.0,0.7262263633872295,729.8
750,前田　祐二,,,,,13.0,,53.0,19.0,,8.0,,93.0,0.7231726283048212,128.6
345,ネルソン,,,,,,,,8.0,149.0,38.0,49.0,244.0,0.7210401891252955,338.4
167,榊原　諒,,,,,5.0,8.0,2.0,18.0,36.0,54.0,23.0,146.0,0.7209876543209877,202.5
319,涌井　秀章,ロッテ,83.0,115.0,118.0,117.0,116.0,79.0,40.0,108.0,154.0,199.0,1129.0,0.7198877765733597,1568.3
25,工藤　公康,,,,,,,,,,7.0,24.0,31.0,0.7192575406032482,43.1
439,ソト,,,,,,10.0,22.0,48.0,59.0,,,139.0,0.719089498189343,193.3
593,松本　裕樹,ソフトバンク,13.0,43.0,1.0,,,,,,,,57.0,0.7187894073139975,79.3
878,榎下　陽大,,,6.0,21.0,,0.0,9.0,,1.0,,,37.0,0.7184466019417476,51.5
871,マドリガル,,,,,,,28.0,,,,,28.0,0.717948717948718,39.0
607,カラシティー,ヤクルト,53.0,,,,,,,,,,53.0,0.7162162162162162,74.0
688,ボルシンガー,ロッテ,83.0,,,,,,,,,,83.0,0.7155172413793104,116.0
260,若松　駿太,,,16.0,85.0,113.0,5.0,,,,,,219.0,0.714751958224543,306.40000000000003
631,戸田　隆矢,広島,6.0,7.0,42.0,44.0,36.0,4.0,0.0,,,,139.0,0.7142857142857143,194.6
854,伊東　昂大,,,,,,,,,,3.0,,3.0,0.7142857142857143,4.2
98,那須野　巧,,,,,,,,,,,5.0,5.0,0.7142857142857143,7.0
153,オルモス,ロッテ,5.0,,,,,,,,,,5.0,0.7142857142857143,7.0
654,宮台　康平,日本ハム,3.0,,,,,,,,,,3.0,0.7142857142857143,4.2
787,中島　彰吾,,,3.0,,,,,,,,,3.0,0.7142857142857143,4.2
226,菊地　和正,,,,,,0.0,12.0,19.0,,13.0,62.0,106.0,0.7138047138047138,148.5
592,京山　将弥,DeNA,35.0,,,,,,,,,,35.0,0.7128309572301426,49.1
37,セドン,,,,,,37.0,,,,,,37.0,0.7115384615384616,52.0
334,岡本　篤志,,,,2.0,8.0,28.0,12.0,39.0,40.0,38.0,,167.0,0.711243611584327,234.8
443,阿南　徹,,,,,,4.0,3.0,,8.0,10.0,,25.0,0.7102272727272727,35.2
330,関谷　亮太,ロッテ,2.0,38.0,58.0,,,,,,,,98.0,0.7101449275362319,138.0
339,九里　亜蓮,広島,72.0,97.0,52.0,10.0,50.0,,,,,,281.0,0.7090587938430483,396.29999999999995
732,須田　幸太,DeNA,4.0,14.0,49.0,42.0,14.0,35.0,7.0,52.0,,,217.0,0.7070707070707071,306.9
171,土肥　星也,ロッテ,13.0,14.0,,,,,,,,,27.0,0.706806282722513,38.2
61,伊藤　準規,中日,6.0,57.0,12.0,3.0,24.0,,3.0,27.0,12.0,1.0,145.0,0.7066276803118908,205.2
515,飯塚　悟史,DeNA,31.0,27.0,,,,,,,,,58.0,0.7055961070559611,82.2
601,新垣　勇人,日本ハム,1.0,0.0,7.0,8.0,3.0,3.0,,,,,22.0,0.7051282051282051,31.200000000000003
51,松家　卓弘,,,,,,,,,,3.0,12.0,15.0,0.7042253521126761,21.299999999999997
717,中里　篤史,,,,,,,,,,1.0,4.0,5.0,0.7042253521126761,7.1
701,大塚　尚仁,,,,3.0,2.0,,,,,,,5.0,0.7042253521126761,7.1
139,今村　信貴,巨人,42.0,6.0,60.0,,19.0,14.0,,,,,141.0,0.7039440838741888,200.29999999999998
898,マストニー,,,,,,,,,,,43.0,43.0,0.7026143790849673,61.2
426,内海　哲也,巨人,52.0,34.0,81.0,10.0,105.0,107.0,121.0,144.0,121.0,115.0,890.0,0.7023912871912241,1267.1
17,トーレス,,,,,,,,,19.0,,,19.0,0.7011070110701106,27.1
364,スタンリッジ,,,52.0,99.0,81.0,129.0,124.0,102.0,116.0,98.0,,801.0,0.70109409190372,1142.5
136,スタルツ,,,,,,,,,,87.0,,87.0,0.7010475423045931,124.1
87,川岸　強,,,,,,,,,6.0,46.0,16.0,68.0,0.7010309278350515,97.0
476,館山　昌平,ヤクルト,11.0,3.0,33.0,36.0,,6.0,119.0,130.0,112.0,126.0,576.0,0.7009004623996107,821.8
204,ナーブソン,,,,,,96.0,,,,,,96.0,0.7007299270072993,137.0
764,福倉　健太郎,,,12.0,,2.0,,,,,,,14.0,0.7,20.0
550,十亀　剣,西武,77.0,83.0,41.0,107.0,41.0,122.0,41.0,,,,512.0,0.6991670080568072,732.3000000000001
860,美馬　学,楽天,41.0,134.0,116.0,62.0,51.0,63.0,108.0,13.0,,,588.0,0.698503207412687,841.8000000000001
269,ダックワース,,,,,,,64.0,22.0,,,,86.0,0.697485806974858,123.30000000000001
131,祖父江　大輔,中日,31.0,26.0,31.0,28.0,36.0,,,,,,152.0,0.6962895098488319,218.3
446,高崎　健太郎,,,0.0,,19.0,30.0,54.0,97.0,127.0,9.0,59.0,395.0,0.6957900299453936,567.7
