ID,順位2017,選手名2017,チーム2017,防御率2017,試合2017,勝利2017,敗北2017,セlブ2017,ホlルド2017,勝率2017,打者2017,投球回2017,被安打2017,被本塁打2017,与四球2017,与死球2017,奪三振2017,失点2017,自責点2017,WHIP2017,DIPS2017
407,1,綾部　翔,DeNA,0.00,1,1,0,0,0,1.0,21,5.0,4,0,2,0,5,0,0,1.20,2.32
101,1,笠谷　俊介,ソフトバンク,0.00,3,0,0,0,1,0.0,12,3.1,1,0,1,0,5,0,0,0.60,1.02
786,1,小林　寛,DeNA,0.00,3,0,0,0,0,0.0,16,3.0,5,0,2,0,3,0,0,2.33,3.12
322,1,才木　浩人,阪神,0.00,2,0,0,0,1,0.0,13,2.2,2,0,3,0,3,0,0,1.88,4.25
30,1,藤井　皓哉,広島,0.00,2,0,0,0,1,0.0,5,1.2,0,0,0,0,1,0,0,0.00,1.92
601,1,新垣　勇人,日本ハム,0.00,1,0,0,0,0,0.0,4,1.0,1,0,0,0,0,0,0,1.00,3.12
525,1,竹安　大知,阪神,0.00,1,1,0,0,0,1.0,3,1.0,0,0,0,0,1,0,0,0.00,1.12
377,8,大石　達也,西武,0.93,20,2,0,0,4,1.0,77,19.1,10,0,11,1,17,2,2,1.09,3.07
294,9,高梨　雄平,楽天,1.03,46,1,0,0,14,1.0,183,43.2,31,2,17,2,48,13,5,1.10,2.75
373,10,福山　博之,楽天,1.06,65,6,0,7,23,1.0,237,59.2,49,2,14,3,31,8,7,1.06,3.32
464,11,サファテ,ソフトバンク,1.09,66,2,2,54,3,0.5,238,66.0,34,3,10,1,102,9,8,0.67,1.12
304,12,石崎　剛,阪神,1.17,26,1,1,0,4,0.5,123,30.2,16,1,15,2,32,4,4,1.01,3.12
435,13,マーティン,日本ハム,1.19,40,0,2,1,29,0.0,137,37.2,21,2,6,1,34,5,5,0.72,2.56
513,14,松井　裕樹,楽天,1.20,52,3,3,33,5,0.5,214,52.2,31,0,26,1,62,8,7,1.08,2.30
675,15,中﨑　翔太,広島,1.40,59,4,1,10,25,0.8,218,57.2,33,2,20,0,36,9,9,0.92,3.36
251,16,榎田　大樹,阪神,1.42,3,0,0,0,1,0.0,30,6.1,10,0,2,0,6,2,1,1.89,2.17
903,17,山井　大介,中日,1.50,2,2,0,0,0,1.0,44,12.0,8,1,1,1,5,2,2,0.75,3.87
590,18,桑原　謙太朗,阪神,1.51,67,4,2,0,39,0.667,261,65.2,52,2,10,3,63,11,11,0.94,2.19
768,19,藤原　良平,西武,1.54,8,0,0,0,0,0.0,53,11.2,10,1,7,2,5,3,2,1.46,5.69
761,20,菅野　智之,巨人,1.59,25,17,5,0,0,0.773,713,187.1,129,10,31,1,171,36,33,0.85,2.50
28,21,山﨑　康晃,DeNA,1.64,68,4,2,26,15,0.667,260,65.2,52,3,13,1,84,16,12,0.99,1.80
812,22,髙橋　聡文,阪神,1.70,61,6,0,1,20,1.0,184,47.2,29,1,14,1,51,9,9,0.90,2.20
158,23,五十嵐　亮太,ソフトバンク,1.73,46,6,0,0,11,1.0,170,41.2,20,2,21,3,28,8,8,0.98,4.13
73,24,岩橋　慶侍,ヤクルト,1.80,2,0,2,0,0,0.0,43,10.0,8,1,5,0,8,4,2,1.30,4.32
781,24,横山　雄哉,阪神,1.80,1,1,0,0,0,1.0,22,5.0,6,0,2,0,5,1,1,1.60,2.32
536,26,一岡　竜司,広島,1.85,59,6,2,1,19,0.75,234,58.1,42,1,20,0,58,14,12,1.06,2.38
780,27,菊池　雄星,西武,1.97,26,16,6,0,0,0.727,735,187.2,122,16,49,6,217,49,41,0.91,2.79
461,28,野田　昇吾,西武,1.98,38,1,0,0,1,1.0,143,36.1,21,1,15,1,26,8,8,0.99,3.37
420,28,田中　靖洋,ロッテ,1.98,13,1,0,1,0,1.0,50,13.2,5,0,4,1,6,3,3,0.66,3.34
106,30,岩嵜　翔,ソフトバンク,1.99,72,6,3,2,40,0.667,289,72.1,55,8,16,2,66,16,16,0.98,3.48
572,31,ジャクソン,広島,2.03,60,2,2,1,30,0.5,243,62.0,43,5,19,1,55,16,14,1.00,3.36
145,32,又吉　克樹,中日,2.13,50,8,3,0,21,0.727,434,110.0,84,7,36,5,78,27,26,1.09,3.65
38,33,小川　龍也,中日,2.19,18,0,0,0,3,0.0,55,12.1,11,0,5,3,9,3,3,1.30,3.61
14,34,藤川　球児,阪神,2.22,52,3,0,0,6,1.0,232,56.2,41,3,24,5,71,15,14,1.15,2.78
124,35,マシソン,巨人,2.24,59,4,4,2,27,0.5,270,68.1,52,6,18,1,79,18,17,1.02,2.78
469,36,マイコラス,巨人,2.25,27,14,8,0,0,0.636,745,188.0,162,10,23,11,187,53,47,0.98,2.36
493,36,国吉　佑樹,DeNA,2.25,4,0,0,0,0,0.0,30,8.0,5,0,4,0,3,2,2,1.13,3.87
481,38,藤平　尚真,楽天,2.28,8,3,4,0,0,0.429,176,43.1,30,2,15,4,44,12,11,1.04,3.00
777,39,ジョーダン,中日,2.30,18,6,4,0,0,0.6,310,74.1,52,2,35,6,66,25,19,1.17,3.35
53,39,牧田　和久,西武,2.30,58,3,3,0,28,0.5,248,62.2,59,4,5,3,35,18,16,1.02,3.22
47,39,青山　浩二,楽天,2.30,17,1,1,0,3,0.5,68,15.2,12,1,6,3,16,4,4,1.15,3.63
700,42,今村　猛,広島,2.38,68,3,5,23,17,0.375,270,64.1,53,6,27,0,69,19,17,1.24,3.45
